IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
212.34.153.94,443,TRUE,NL:AMS1,NL,Europe,Amsterdam,0,,240,16.9
93.183.91.45,443,TRUE,NL:AMS2,NL,Europe,Amsterdam,0,,230,16.56
77.238.235.72,443,TRUE,NL:AMS3,NL,Europe,Amsterdam,216071,Servers Tech Fzco,222,11.14
77.238.232.250,443,TRUE,NL:AMS4,NL,Europe,Amsterdam,216071,Servers Tech Fzco,221,11.06
45.8.145.231,443,TRUE,NL:AMS5,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,207,10.62
45.14.244.216,2054,TRUE,NL:AMS6,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,195,10.09
93.183.89.25,443,TRUE,NL:AMS7,NL,Europe,Amsterdam,0,,275,10.07
94.232.244.207,443,TRUE,NL:AMS8,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,229,9.78
188.119.113.222,443,TRUE,NL:AMS9,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,164,9.63
194.87.35.72,443,TRUE,NL:AMS10,NL,Europe,Amsterdam,41745,Baykov Ilya Sergeevich,176,9.48
195.133.38.182,443,TRUE,NL:AMS11,NL,Europe,Amsterdam,216475,NKtelecom INC,203,9.38
45.120.178.224,2053,TRUE,NL:AMS12,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,158,9.32
94.232.245.125,2053,TRUE,NL:AMS13,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,199,9.25
82.115.6.33,2053,TRUE,NL:AMS14,NL,Europe,Amsterdam,42532,SIA VEESP,161,9.24
185.154.13.63,8443,TRUE,NL:AMS15,NL,Europe,Amsterdam,204601,Zomro B.V.,152,9.09
194.147.33.189,443,TRUE,NL:AMS16,NL,Europe,Amsterdam,41745,Baykov Ilya Sergeevich,179,8.98
45.67.231.202,8443,TRUE,NL:AMS17,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,160,8.94
194.116.190.199,2053,TRUE,NL:AMS18,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,168,8.92
80.82.67.70,8443,TRUE,NL:AMS19,NL,Europe,Amsterdam,202425,IP Volume inc,161,8.87
185.164.163.134,443,TRUE,NL:AMS20,NL,Europe,Amsterdam,214798,Digital City FZE,158,8.83
5.35.45.139,2053,TRUE,NL:AMS21,NL,Europe,Amsterdam,216071,Servers Tech Fzco,213,8.76
193.38.55.24,443,TRUE,NL:AMS22,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,198,8.73
88.218.93.118,443,TRUE,NL:AMS23,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,174,8.71
185.33.24.247,443,TRUE,NL:AMS24,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,158,8.47
185.242.86.83,443,TRUE,NL:AMS25,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,169,8.47
94.232.245.85,8443,TRUE,NL:AMS26,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,160,8.46
185.236.233.116,443,TRUE,NL:AMS27,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,172,8.34
95.142.41.27,443,TRUE,NL:AMS28,NL,Europe,Amsterdam,216139,Iron Hosting Centre LTD,187,8.34
45.87.154.25,2053,TRUE,NL:AMS29,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,177,8.32
195.133.38.227,443,TRUE,NL:AMS30,NL,Europe,Amsterdam,216475,NKtelecom INC,162,8.3
195.133.38.198,2053,TRUE,NL:AMS31,NL,Europe,Amsterdam,216475,NKtelecom INC,170,8.27
94.142.136.38,8443,TRUE,NL:AMS32,NL,Europe,Amsterdam,200740,First Server Limited,190,8.23
194.87.35.190,8443,TRUE,NL:AMS33,NL,Europe,Amsterdam,41745,Baykov Ilya Sergeevich,178,8.17
51.15.16.16,8443,TRUE,NL:AMS34,NL,Europe,Amsterdam,12876,Scaleway S.a.s.,191,8.14
195.133.79.154,443,TRUE,NL:AMS35,NL,Europe,Amsterdam,216475,NKtelecom INC,174,8.11
185.22.155.68,10002,TRUE,NL:AMS36,NL,Europe,Amsterdam,51659,LLC Baxet,130,8.08
31.184.242.53,8443,TRUE,NL:AMS37,NL,Europe,Amsterdam,52000,MIRhosting B.V.,196,7.95
45.67.35.124,2053,TRUE,NL:AMS38,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,175,7.92
195.93.253.207,2053,TRUE,NL:AMS39,NL,Europe,Amsterdam,198178,365.partners INC,175,7.87
195.74.86.157,443,TRUE,NL:AMS40,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,214,7.83
95.142.41.132,443,TRUE,NL:AMS41,NL,Europe,Amsterdam,216139,Iron Hosting Centre LTD,176,7.81
185.236.233.172,443,TRUE,NL:AMS42,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,174,7.81
185.164.172.168,8443,TRUE,NL:AMS43,NL,Europe,Amsterdam,198178,365.partners INC,181,7.8
45.89.110.100,2053,TRUE,NL:AMS44,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,160,7.79
185.33.24.18,443,TRUE,NL:AMS45,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,198,7.79
185.22.155.139,587,TRUE,NL:AMS46,NL,Europe,Amsterdam,51659,LLC Baxet,124,7.76
94.131.11.41,443,TRUE,NL:AMS47,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,176,7.74
46.30.46.114,2053,TRUE,NL:AMS48,NL,Europe,Amsterdam,216139,Iron Hosting Centre LTD,183,7.66
185.119.196.173,8443,TRUE,NL:AMS49,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,163,7.63
156.241.0.197,3030,TRUE,NL:AMS50,NL,Europe,Amsterdam,212552,BitCommand LLC,219,7.63
195.74.86.68,2053,TRUE,NL:AMS51,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,195,7.61
95.215.8.63,2053,TRUE,NL:AMS52,NL,Europe,Amsterdam,41745,Baykov Ilya Sergeevich,186,7.49
85.208.110.56,8443,TRUE,NL:AMS53,NL,Europe,Amsterdam,44477,Stark Industries Solutions Ltd,208,7.48
