IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
89.168.98.81,443,443,TRUE,FRA,Europe,Frankfurt,232,8.38
143.47.183.87,443,443,TRUE,FRA,Europe,Frankfurt,270,8.36
129.159.202.155,443,443,TRUE,FRA,Europe,Frankfurt,242,8.33
141.147.83.38,443,443,TRUE,FRA,Europe,Frankfurt,259,8.31
84.8.152.195,443,443,TRUE,FRA,Europe,Frankfurt,204,8.3
144.21.54.5,443,443,TRUE,FRA,Europe,Frankfurt,302,8.27
141.148.238.120,443,443,TRUE,FRA,Europe,Frankfurt,289,8.25
89.168.112.118,2053,443,TRUE,FRA,Europe,Frankfurt,239,8.22
130.61.181.61,2096,443,TRUE,FRA,Europe,Frankfurt,341,8.22
193.123.32.220,443,443,TRUE,FRA,Europe,Frankfurt,282,8.19
79.72.69.213,443,443,TRUE,FRA,Europe,Frankfurt,277,8.18
143.47.234.43,443,443,TRUE,FRA,Europe,Frankfurt,323,8.16
79.72.86.101,443,443,TRUE,FRA,Europe,Frankfurt,200,8.14
141.147.116.1,443,443,TRUE,EWR,North America,Newark,288,8.11
132.145.246.20,443,443,TRUE,FRA,Europe,Frankfurt,360,8.08
141.147.116.187,443,443,TRUE,FRA,Europe,Frankfurt,319,8.07
84.235.162.158,443,443,TRUE,FRA,Europe,Frankfurt,284,8.05
130.162.242.144,443,443,TRUE,FRA,Europe,Frankfurt,201,8.02
130.61.181.61,8443,443,TRUE,FRA,Europe,Frankfurt,313,7.98
79.72.82.252,443,443,TRUE,FRA,Europe,Frankfurt,188,7.95
130.162.161.0,443,443,TRUE,FRA,Europe,Frankfurt,203,7.94
144.24.161.142,8443,443,TRUE,FRA,Europe,Frankfurt,319,7.94
141.144.195.156,443,443,TRUE,FRA,Europe,Frankfurt,350,7.92
130.61.181.61,2053,443,TRUE,FRA,Europe,Frankfurt,208,7.81
152.70.60.29,443,443,TRUE,ORD,North America,Chicago,367,7.73
132.145.54.84,8443,443,TRUE,LHR,Europe,London,175,7.67
141.147.114.32,443,443,TRUE,ORD,North America,Chicago,243,7.65
158.101.220.182,443,443,TRUE,ORD,North America,Chicago,307,7.63
143.47.185.166,443,443,TRUE,FRA,Europe,Frankfurt,284,7.63
192.9.158.188,443,443,TRUE,SJC,North America,San Jose,198,7.6
84.235.160.68,443,443,TRUE,FRA,Europe,Frankfurt,304,7.6
130.162.39.2,443,443,TRUE,FRA,Europe,Frankfurt,189,7.58
