IP地址,端口,TLS,数据中心,国家,地区,延迟(ms),速度(MB/s)
172.64.233.42,443,TRUE,GB@1,GB,Europe,362,16.37
172.64.233.131,443,TRUE,GB@2,GB,Europe,249,16.28
172.64.233.147,443,TRUE,GB@3,GB,Europe,244,15.1
172.64.233.70,443,TRUE,GB@4,GB,Europe,223,13.96
172.64.233.98,443,TRUE,GB@5,GB,Europe,241,12.87
172.64.233.254,443,TRUE,GB@6,GB,Europe,237,12.6
172.64.233.158,443,TRUE,GB@7,GB,Europe,256,11.98
172.64.233.168,443,TRUE,GB@8,GB,Europe,249,11.16
162.159.81.209,443,TRUE,GB@9,GB,Europe,228,10.6
162.159.81.108,443,TRUE,GB@10,GB,Europe,265,9.85
172.64.233.221,443,TRUE,GB@11,GB,Europe,230,8.77
162.159.81.115,443,TRUE,GB@12,GB,Europe,229,8.32
162.159.81.112,443,TRUE,GB@13,GB,Europe,227,8.14
162.159.81.84,443,TRUE,GB@14,GB,Europe,269,8.13
172.64.233.93,443,TRUE,GB@15,GB,Europe,257,7.97
162.159.81.25,443,TRUE,GB@16,GB,Europe,256,7.8
172.64.233.184,443,TRUE,GB@17,GB,Europe,728,7.79
162.159.81.75,443,TRUE,GB@18,GB,Europe,365,7.62
172.64.233.82,443,TRUE,GB@19,GB,Europe,235,7.57
172.64.233.11,443,TRUE,GB@20,GB,Europe,233,7.56
3.9.223.59,80,TRUE,GB@21,GB,Europe,194,7.2
162.159.81.14,443,TRUE,GB@22,GB,Europe,255,7.16
162.159.81.198,443,TRUE,GB@23,GB,Europe,229,7.04
162.159.81.219,443,TRUE,GB@24,GB,Europe,269,6.99
162.159.81.202,443,TRUE,GB@25,GB,Europe,223,6.77
162.159.81.151,443,TRUE,GB@26,GB,Europe,221,6.58
162.159.81.245,443,TRUE,GB@27,GB,Europe,445,6.56
3.9.223.59,443,TRUE,GB@28,GB,Europe,180,6.31
35.176.229.223,443,TRUE,GB@29,GB,Europe,217,6.3
162.159.81.205,443,TRUE,GB@30,GB,Europe,230,6.27
172.64.233.92,443,TRUE,GB@31,GB,Europe,222,6.17
3.8.212.197,8080,TRUE,GB@32,GB,Europe,199,6.16
172.64.233.113,443,TRUE,GB@33,GB,Europe,254,6.12
162.159.81.171,443,TRUE,GB@34,GB,Europe,221,5.95
172.64.233.174,443,TRUE,GB@35,GB,Europe,252,5.85
172.64.233.108,443,TRUE,GB@36,GB,Europe,252,5.85
162.159.81.76,443,TRUE,GB@37,GB,Europe,687,5.83
162.159.81.138,443,TRUE,GB@38,GB,Europe,238,5.81
18.130.254.28,8080,TRUE,GB@39,GB,Europe,186,5.8
38.180.153.85,2053,TRUE,GB@40,GB,Europe,201,5.74
172.64.233.44,443,TRUE,GB@41,GB,Europe,237,5.74
172.64.233.224,443,TRUE,GB@42,GB,Europe,262,5.7
162.159.81.157,443,TRUE,GB@43,GB,Europe,250,5.69
172.64.233.56,443,TRUE,GB@44,GB,Europe,228,5.67
172.64.233.5,443,TRUE,GB@45,GB,Europe,233,5.59
172.64.233.71,443,TRUE,GB@46,GB,Europe,229,5.57
162.159.81.163,443,TRUE,GB@47,GB,Europe,719,5.5
162.159.81.77,443,TRUE,GB@48,GB,Europe,256,5.46
162.159.81.242,443,TRUE,GB@49,GB,Europe,248,5.39
162.159.81.187,443,TRUE,GB@50,GB,Europe,218,5.35
162.159.81.105,443,TRUE,GB@51,GB,Europe,250,5.31
35.176.229.223,80,TRUE,GB@52,GB,Europe,177,5.28
3.8.172.27,8080,TRUE,GB@53,GB,Europe,192,5.26
51.89.250.118,443,TRUE,GB@54,GB,Europe,237,5.14
198.244.244.170,2053,TRUE,GB@55,GB,Europe,248,5.05
38.180.154.225,443,TRUE,GB@56,GB,Europe,219,5.02
217.138.207.122,8443,TRUE,GB@57,GB,Europe,200,4.95
162.159.81.118,443,TRUE,GB@58,GB,Europe,273,4.92
172.64.233.156,443,TRUE,GB@59,GB,Europe,263,4.9
38.180.30.140,2053,TRUE,GB@60,GB,Europe,228,4.87
38.180.30.140,8443,TRUE,GB@61,GB,Europe,195,4.85
172.64.233.180,443,TRUE,GB@62,GB,Europe,273,4.78
79.141.171.119,8443,TRUE,GB@63,GB,Europe,225,4.75
162.159.81.96,443,TRUE,GB@64,GB,Europe,228,4.67
162.159.81.236,443,TRUE,GB@65,GB,Europe,263,4.63
38.180.64.255,2087,TRUE,GB@66,GB,Europe,194,4.57
162.159.81.237,443,TRUE,GB@67,GB,Europe,237,4.57
38.180.30.201,8443,TRUE,GB@68,GB,Europe,211,4.5
172.64.233.210,443,TRUE,GB@69,GB,Europe,256,4.38
137.74.150.212,8443,TRUE,GB@70,FR,Europe,368,4.36
172.64.233.159,443,TRUE,GB@71,GB,Europe,259,4.35
162.159.81.169,443,TRUE,GB@72,GB,Europe,259,4.31
188.165.168.217,2087,TRUE,GB@73,FR,Europe,281,4.25
38.180.65.223,2053,TRUE,GB@74,GB,Europe,194,4.21
3.9.12.200,443,TRUE,GB@75,GB,Europe,209,4.19
51.89.197.38,2053,TRUE,GB@76,GB,Europe,242,4.16
38.180.62.108,28443,TRUE,GB@77,GB,Europe,224,4.14
172.64.233.80,443,TRUE,GB@78,GB,Europe,270,4.11
191.96.153.69,2053,TRUE,GB@79,FR,Europe,227,4.1
18.133.253.214,8080,TRUE,GB@80,GB,Europe,225,4.09
141.95.193.15,2053,TRUE,GB@81,FR,Europe,253,4.04
51.89.197.38,8443,TRUE,GB@82,GB,Europe,242,4.02
162.159.81.168,443,TRUE,GB@83,GB,Europe,270,4.01
162.159.81.19,443,TRUE,GB@84,GB,Europe,239,3.99
176.31.129.34,8443,TRUE,GB@85,FR,Europe,275,3.98
193.163.201.85,8443,TRUE,GB@86,GB,Europe,226,3.97
178.32.173.233,8443,TRUE,GB@87,FR,Europe,283,3.96
151.80.121.64,8443,TRUE,GB@88,FR,Europe,248,3.94
172.64.233.200,443,TRUE,GB@89,GB,Europe,364,3.94
172.64.233.53,443,TRUE,GB@90,GB,Europe,239,3.92
162.159.81.126,443,TRUE,GB@91,GB,Europe,249,3.91
172.64.233.31,443,TRUE,GB@92,GB,Europe,220,3.85
