IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
175.201.21.227,29491,TRUE,JP:FUK1,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,169,9.1
222.104.209.76,12543,TRUE,JP:FUK2,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,180,8.39
221.156.0.84,39585,TRUE,JP:FUK3,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,172,8.24
222.104.209.76,35780,TRUE,JP:FUK4,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,180,8.2
222.103.251.148,20636,TRUE,JP:FUK5,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,135,8.16
222.104.82.72,34377,TRUE,JP:FUK6,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,143,8.12
61.84.208.144,13188,TRUE,JP:FUK7,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,163,7.89
168.126.182.190,35447,TRUE,JP:FUK8,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,172,7.78
222.119.56.43,38625,TRUE,JP:FUK9,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,191,7.78
175.213.86.244,27061,TRUE,JP:FUK10,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,168,7.77
222.119.56.43,11526,TRUE,JP:FUK11,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,191,7.74
59.18.147.157,15542,TRUE,JP:FUK12,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,165,7.68
222.113.18.206,29784,TRUE,JP:FUK13,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,178,7.46
221.164.149.81,38136,TRUE,JP:FUK14,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,169,7.27
210.222.30.180,36841,TRUE,JP:FUK15,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,129,7.26
14.52.18.105,32084,TRUE,JP:FUK16,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,189,7.2
14.52.18.105,29437,TRUE,JP:FUK17,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,141,7.13
14.52.18.105,33850,TRUE,JP:FUK18,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,191,7.01
59.1.55.42,17891,TRUE,JP:FUK19,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,168,7
175.213.86.244,19914,TRUE,JP:FUK20,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,144,7
175.199.77.12,16455,TRUE,JP:FUK21,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,145,6.98
61.84.224.58,12150,TRUE,JP:FUK22,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,184,6.93
59.1.55.42,21508,TRUE,JP:FUK23,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,162,6.91
14.52.18.105,32523,TRUE,JP:FUK24,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,156,6.88
220.88.191.218,25808,TRUE,JP:FUK25,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,163,6.86
211.46.186.147,30450,TRUE,JP:FUK26,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,179,6.81
211.199.54.68,18297,TRUE,JP:FUK27,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,175,6.81
211.184.95.217,37622,TRUE,JP:FUK28,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,161,6.79
175.213.86.244,17769,TRUE,JP:FUK29,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,192,6.78
175.196.105.220,17367,TRUE,JP:FUK30,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,172,6.73
175.196.101.16,39786,TRUE,JP:FUK31,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,182,6.66
61.84.224.58,18480,TRUE,JP:FUK32,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,143,6.63
222.104.23.36,12390,TRUE,JP:FUK33,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,159,6.6
59.18.176.119,18402,TRUE,JP:FUK34,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,169,6.47
61.84.224.58,17151,TRUE,JP:FUK35,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,191,6.41
59.22.22.125,25014,TRUE,JP:FUK36,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,144,6.39
118.44.96.97,30122,TRUE,JP:FUK37,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,168,6.35
14.43.110.40,33549,TRUE,JP:FUK38,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,176,6.33
211.104.215.140,14956,TRUE,JP:FUK39,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,158,6.32
14.52.18.105,28636,TRUE,JP:FUK40,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,145,6.32
222.104.23.36,25994,TRUE,JP:FUK41,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,156,6.31
121.160.15.69,12192,TRUE,JP:FUK42,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,152,6.28
59.27.228.134,32499,TRUE,JP:FUK43,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,129,6.26
221.156.192.209,12398,TRUE,JP:FUK44,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,169,6.23
59.18.176.119,22975,TRUE,JP:FUK45,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,208,6.21
175.196.105.220,26916,TRUE,JP:FUK46,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,191,6.2
59.20.45.212,14826,TRUE,JP:FUK47,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,142,6.2
14.42.214.234,39508,TRUE,JP:FUK48,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,132,6.18
61.80.135.3,32063,TRUE,JP:FUK49,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,157,6.17
221.164.165.14,18855,TRUE,JP:FUK50,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,166,6.14
175.196.105.220,33949,TRUE,JP:FUK51,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,191,6.14
210.123.185.137,19609,TRUE,JP:FUK52,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,167,6.1
14.52.18.105,28189,TRUE,JP:FUK53,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,135,6.09
61.84.208.144,12339,TRUE,JP:FUK54,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,156,6.08
222.97.173.104,20850,TRUE,JP:FUK55,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,160,6.04
14.50.42.93,38239,TRUE,JP:FUK56,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,157,6.04
59.30.19.182,37999,TRUE,JP:FUK57,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,165,6.02
222.103.7.204,12529,TRUE,JP:FUK58,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,134,6.01
222.119.56.43,22006,TRUE,JP:FUK59,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,112,6.01
175.213.86.244,17412,TRUE,JP:FUK60,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,208,6
168.126.182.190,17573,TRUE,JP:FUK61,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,130,5.98
222.104.209.76,28045,TRUE,JP:FUK62,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,190,5.97
118.44.96.97,35676,TRUE,JP:FUK63,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,189,5.97
175.200.243.54,28678,TRUE,JP:FUK64,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,172,5.96
118.35.78.217,36017,TRUE,JP:FUK65,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,151,5.96
175.211.129.76,11320,TRUE,JP:FUK66,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,180,5.95
59.10.2.83,25655,TRUE,JP:FUK67,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,157,5.94
59.18.176.119,32306,TRUE,JP:FUK68,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,177,5.93
175.213.86.244,15524,TRUE,JP:FUK69,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,183,5.93
220.81.117.120,10304,TRUE,JP:FUK70,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,161,5.92
59.5.165.246,16057,TRUE,JP:FUK71,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,157,5.91
221.163.115.134,18614,TRUE,JP:FUK72,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,146,5.91
175.213.86.244,39639,TRUE,JP:FUK73,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,197,5.9
14.52.18.105,13944,TRUE,JP:FUK74,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,143,5.89
210.100.215.99,13632,TRUE,JP:FUK75,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,173,5.88
221.144.52.131,33461,TRUE,JP:FUK76,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,176,5.88
211.197.141.138,16570,TRUE,JP:FUK77,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,181,5.87
59.5.165.246,14557,TRUE,JP:FUK78,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,140,5.87
221.152.115.8,26452,TRUE,JP:FUK79,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,180,5.85
59.18.176.119,35412,TRUE,JP:FUK80,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,166,5.79
211.227.125.151,38782,TRUE,JP:FUK81,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,163,5.78
175.194.139.90,12972,TRUE,JP:FUK82,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,167,5.78
59.18.176.119,33119,TRUE,JP:FUK83,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,175,5.77
