IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
8.217.206.52,31458,TRUE,HK:HKG32,HK,Asia Pacific,Hong Kong,399044,HGC Global Communications Limited,36,21.319
183.94.30.165,27267,TRUE,HK:HKG33,HK,Asia Pacific,Hong Kong,4837,CHINA UNICOM China169 Backbone,20,21.29
47.56.196.176,9443,TRUE,HK:HKG34,HK,Asia Pacific,Hong Kong,45102,Alibaba US Technology Co Ltd,42,14.97
1.232.40.93,19538,TRUE,HK:HKG35,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,76,8.99
211.207.174.216,11011,TRUE,HK:HKG36,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,80,8.91
211.212.43.153,27224,TRUE,HK:HKG37,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,75,8.7
222.251.222.151,16210,TRUE,HK:HKG38,HK,Asia Pacific,Hong Kong,23563,SK Broadband Co Ltd,140,8.66
211.58.25.41,23585,TRUE,HK:HKG39,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,80,8.66
114.201.84.248,39175,TRUE,HK:HKG40,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,76,8.58
222.235.89.37,11129,TRUE,HK:HKG41,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,106,8.56
58.231.121.107,12695,TRUE,HK:HKG42,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,100,8.55
218.238.105.140,36533,TRUE,HK:HKG43,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,72,8.51
39.121.97.223,27607,TRUE,HK:HKG44,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,94,8.48
1.243.39.139,38646,TRUE,HK:HKG45,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,89,8.47
211.212.43.153,28269,TRUE,HK:HKG46,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,83,8.46
211.212.43.153,14957,TRUE,HK:HKG47,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,72,8.46
116.122.120.234,10333,TRUE,HK:HKG48,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,71,8.45
114.203.236.104,19391,TRUE,HK:HKG49,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,74,8.44
180.65.81.9,31469,TRUE,HK:HKG50,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,93,8.44
1.243.39.139,38717,TRUE,HK:HKG51,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,78,8.42
211.212.43.153,33135,TRUE,HK:HKG52,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,76,8.41
114.203.236.104,35559,TRUE,HK:HKG53,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,75,8.4
1.241.218.157,25063,TRUE,HK:HKG54,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,73,8.27
218.238.105.140,36403,TRUE,HK:HKG55,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,76,8.21
218.238.105.140,27017,TRUE,HK:HKG56,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,76,8.08
58.231.121.107,11608,TRUE,HK:HKG57,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,100,8.08
223.222.178.82,17379,TRUE,HK:HKG58,HK,Asia Pacific,Hong Kong,17849,SK Broadband Co Ltd,74,8.06
222.251.222.151,19120,TRUE,HK:HKG59,HK,Asia Pacific,Hong Kong,23563,SK Broadband Co Ltd,153,8.02
1.248.65.59,19219,TRUE,HK:HKG60,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,81,8.02
39.121.97.223,12044,TRUE,HK:HKG61,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,89,8.02
39.117.158.134,13666,TRUE,HK:HKG62,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,88,7.98
1.241.218.157,22240,TRUE,HK:HKG63,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,72,7.96
211.243.77.40,10893,TRUE,HK:HKG64,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,76,7.94
222.251.222.151,21705,TRUE,HK:HKG65,HK,Asia Pacific,Hong Kong,23563,SK Broadband Co Ltd,97,7.9
61.98.190.141,12415,TRUE,HK:HKG66,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,81,7.89
211.172.136.38,26204,TRUE,HK:HKG67,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,102,7.88
211.179.70.112,33235,TRUE,HK:HKG68,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,85,7.86
211.33.71.215,37922,TRUE,HK:HKG69,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,97,7.86
180.71.161.49,39864,TRUE,HK:HKG70,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,85,7.85
1.236.13.140,15869,TRUE,HK:HKG71,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,95,7.85
211.243.77.40,17480,TRUE,HK:HKG72,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,83,7.84
218.237.123.117,26438,TRUE,HK:HKG73,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,104,7.83
1.243.39.139,12919,TRUE,HK:HKG74,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,88,7.81
211.172.136.38,15667,TRUE,HK:HKG75,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,88,7.79
221.138.1.99,26697,TRUE,HK:HKG76,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,79,7.79
58.122.187.141,38202,TRUE,HK:HKG77,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,88,7.79
58.122.187.141,10091,TRUE,HK:HKG78,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,87,7.79
58.231.121.107,11918,TRUE,HK:HKG79,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,86,7.78
114.201.84.248,14492,TRUE,HK:HKG80,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,91,7.77
39.120.102.137,21299,TRUE,HK:HKG81,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,85,7.74
222.235.135.123,24824,TRUE,HK:HKG82,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,95,7.74
175.119.93.150,35287,TRUE,HK:HKG83,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,87,7.73
1.232.82.189,22500,TRUE,HK:HKG84,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,76,7.73
222.235.135.123,21406,TRUE,HK:HKG85,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,90,7.72
39.116.71.182,21403,TRUE,HK:HKG86,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,109,7.72
218.37.77.96,12502,TRUE,HK:HKG87,HK,Asia Pacific,Hong Kong,17864,SK Broadband Co Ltd,83,7.7
1.236.248.109,11670,TRUE,HK:HKG88,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,74,7.7
175.119.93.150,26801,TRUE,HK:HKG89,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,82,7.7
156.255.90.175,2053,TRUE,HK:HKG90,HK,Asia Pacific,Hong Kong,63888,DATAWING LIMITED,169,7.69
118.219.239.158,24793,TRUE,HK:HKG91,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,91,7.67
110.12.188.72,34655,TRUE,HK:HKG92,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,88,7.66
180.65.81.9,13008,TRUE,HK:HKG93,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,100,7.66
39.124.96.8,22628,TRUE,HK:HKG94,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,89,7.65
121.124.114.17,15772,TRUE,HK:HKG95,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,110,7.65
221.143.121.193,16322,TRUE,HK:HKG96,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,81,7.65
218.54.200.63,37113,TRUE,HK:HKG97,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,78,7.65
211.33.71.215,21153,TRUE,HK:HKG98,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,95,7.65
1.253.134.202,37215,TRUE,HK:HKG99,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,102,7.64
39.124.70.190,34482,TRUE,HK:HKG100,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,86,7.64
1.231.146.114,19287,TRUE,HK:HKG101,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,80,7.6
1.253.134.202,11944,TRUE,HK:HKG102,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,112,7.6
1.232.82.189,11580,TRUE,HK:HKG103,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,85,7.59
61.254.205.175,35583,TRUE,HK:HKG104,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,91,7.59
1.251.112.185,25686,TRUE,HK:HKG105,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,103,7.57
118.218.192.190,12390,TRUE,HK:HKG106,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,79,7.56
175.121.138.160,10049,TRUE,HK:HKG107,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,79,7.56
39.114.237.166,32236,TRUE,HK:HKG108,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,112,7.55
39.114.198.93,39745,TRUE,HK:HKG109,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,101,7.55
222.235.89.37,20598,TRUE,HK:HKG110,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,88,7.55
118.216.67.83,21631,TRUE,HK:HKG111,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,94,7.55
175.118.73.120,16805,TRUE,HK:HKG112,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,83,7.53
1.231.146.114,21089,TRUE,HK:HKG113,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,78,7.53
39.117.51.21,37453,TRUE,HK:HKG114,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,92,7.53
1.231.146.114,33026,TRUE,HK:HKG115,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,102,7.52
118.217.254.146,21096,TRUE,HK:HKG116,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,93,7.49
222.237.202.177,24226,TRUE,HK:HKG117,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,74,7.49
118.219.239.158,26504,TRUE,HK:HKG118,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,83,7.49
39.116.71.182,22020,TRUE,HK:HKG119,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,112,7.49
118.217.254.146,28187,TRUE,HK:HKG120,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,104,7.48
118.217.254.146,21365,TRUE,HK:HKG121,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,121,7.48
222.237.202.177,15540,TRUE,HK:HKG122,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,83,7.47
1.231.146.114,12824,TRUE,HK:HKG123,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,100,7.47
180.65.81.9,34052,TRUE,HK:HKG124,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,96,7.45
1.237.229.226,29371,TRUE,HK:HKG125,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,80,7.44
222.234.105.56,31930,TRUE,HK:HKG126,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,99,7.42
1.250.142.241,11982,TRUE,HK:HKG127,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,85,7.42
1.248.41.114,21663,TRUE,HK:HKG128,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,95,7.42
218.37.77.96,13850,TRUE,HK:HKG129,HK,Asia Pacific,Hong Kong,17864,SK Broadband Co Ltd,115,7.41
39.124.231.44,32773,TRUE,HK:HKG130,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,99,7.41
39.116.71.182,19448,TRUE,HK:HKG131,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,93,7.39
222.235.192.134,35440,TRUE,HK:HKG132,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,109,7.39
1.253.134.202,19771,TRUE,HK:HKG133,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,101,7.38
114.205.34.118,24872,TRUE,HK:HKG134,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,92,7.37
58.224.204.214,31074,TRUE,HK:HKG135,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,90,7.37
222.237.202.177,28203,TRUE,HK:HKG136,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,81,7.36
39.113.220.231,37509,TRUE,HK:HKG137,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,96,7.36
125.180.156.140,12126,TRUE,HK:HKG138,HK,Asia Pacific,Hong Kong,17858,LG POWERCOMM,95,7.35
39.124.70.190,22768,TRUE,HK:HKG139,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,111,7.35
114.201.130.237,20636,TRUE,HK:HKG140,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,102,7.33
58.224.204.214,22566,TRUE,HK:HKG141,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,88,7.32
58.231.161.155,11664,TRUE,HK:HKG142,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,93,7.32
222.235.14.103,23104,TRUE,HK:HKG143,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,84,7.31
118.222.219.124,16178,TRUE,HK:HKG144,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,104,7.29
