IP地址,端口,TLS,数据中心,国家,地区,延迟(ms),速度(MB/s)
172.64.130.190,443,TRUE,HKG,HK,Asia Pacific,132.24,79.28
104.19.5.94,443,TRUE,HKG,HK,Asia Pacific,133.67,78.15
172.64.140.192,443,TRUE,HKG,HK,Asia Pacific,133.2,67.5
104.19.32.57,443,TRUE,HKG,HK,Asia Pacific,131.47,51.09
172.64.133.22,443,TRUE,HKG,HK,Asia Pacific,132.41,48.8
172.64.141.66,443,TRUE,HKG,HK,Asia Pacific,131.75,45.54
104.19.12.19,443,TRUE,HKG,HK,Asia Pacific,132.67,45.38
172.64.142.138,443,TRUE,HKG,HK,Asia Pacific,134.41,39.84
172.64.201.238,443,TRUE,HKG,HK,Asia Pacific,132.61,38.34
172.64.132.72,443,TRUE,HKG,HK,Asia Pacific,131.78,31.4
172.64.102.102,443,TRUE,HKG,HK,Asia Pacific,132.96,30.3
172.64.168.30,443,TRUE,HKG,HK,Asia Pacific,134.49,26.71
172.64.138.220,443,TRUE,HKG,HK,Asia Pacific,134.53,26.5
172.64.194.124,443,TRUE,HKG,HK,Asia Pacific,131.56,22.8
172.64.106.200,443,TRUE,HKG,HK,Asia Pacific,133.92,22.16
172.64.206.206,443,TRUE,HKG,HK,Asia Pacific,133.31,21.56
172.64.172.48,443,TRUE,HKG,HK,Asia Pacific,134.3,20.98
172.64.143.124,443,TRUE,HKG,HK,Asia Pacific,132.52,20.76
172.64.134.29,443,TRUE,HKG,HK,Asia Pacific,132.51,19.81
172.64.103.201,443,TRUE,HKG,HK,Asia Pacific,133.01,19.03
172.64.133.24,443,TRUE,HKG,HK,Asia Pacific,131.9,18.78
172.64.111.4,443,TRUE,HKG,HK,Asia Pacific,133.9,17.76
172.64.138.180,443,TRUE,HKG,HK,Asia Pacific,130.36,15.46
172.64.169.254,443,TRUE,HKG,HK,Asia Pacific,133.38,10.48
104.19.124.18,443,TRUE,HKG,HK,Asia Pacific,131.26,8.31
172.64.173.54,443,TRUE,HKG,HK,Asia Pacific,132.46,7.87
172.64.171.6,443,TRUE,HKG,HK,Asia Pacific,133.74,6.67
172.64.107.26,443,TRUE,HKG,HK,Asia Pacific,130.73,5.81
172.64.163.187,443,TRUE,HKG,HK,Asia Pacific,134.15,0.99
172.64.229.45,443,TRUE,HKG,HK,Asia Pacific,105.21,0.19
