IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.237.131,2083,TRUE,SIN:IP2,Asia Pacific,Singapore,284 ms,6351 kB/s
47.236.205.188,2053,TRUE,SIN,Asia Pacific,Singapore,280 ms,5879 kB/s
47.237.94.140,2087,TRUE,SIN,Asia Pacific,Singapore,293 ms,5422 kB/s
47.236.118.216,2053,TRUE,SIN,Asia Pacific,Singapore,277 ms,5290 kB/s
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,286 ms,5252 kB/s
47.237.86.185,2087,TRUE,SIN,Asia Pacific,Singapore,278 ms,5157 kB/s
47.237.92.26,2083,TRUE,SIN,Asia Pacific,Singapore,279 ms,4959 kB/s
47.237.100.206,2083,TRUE,SIN,Asia Pacific,Singapore,284 ms,4841 kB/s
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,288 ms,4831 kB/s
47.236.17.193,2053,TRUE,SIN,Asia Pacific,Singapore,316 ms,4805 kB/s
47.237.95.140,2096,TRUE,SIN,Asia Pacific,Singapore,280 ms,4778 kB/s
47.236.150.13,2053,TRUE,SIN,Asia Pacific,Singapore,281 ms,4757 kB/s
47.237.14.220,2083,TRUE,SIN,Asia Pacific,Singapore,288 ms,4679 kB/s
47.236.145.85,2083,TRUE,SIN,Asia Pacific,Singapore,302 ms,4674 kB/s
47.236.174.206,2096,TRUE,SIN,Asia Pacific,Singapore,302 ms,4593 kB/s
47.236.144.156,8443,TRUE,SIN,Asia Pacific,Singapore,296 ms,4533 kB/s
47.236.144.196,8443,TRUE,SIN,Asia Pacific,Singapore,290 ms,4507 kB/s
47.236.169.141,2087,TRUE,SIN,Asia Pacific,Singapore,308 ms,4447 kB/s
47.237.95.146,2083,TRUE,SIN,Asia Pacific,Singapore,302 ms,4444 kB/s
47.237.95.13,2083,TRUE,SIN,Asia Pacific,Singapore,292 ms,4441 kB/s
47.236.102.102,2083,TRUE,SIN,Asia Pacific,Singapore,312 ms,4431 kB/s
47.236.97.90,2087,TRUE,SIN,Asia Pacific,Singapore,301 ms,4425 kB/s
47.236.180.24,2096,TRUE,SIN,Asia Pacific,Singapore,280 ms,4391 kB/s
47.236.171.205,2053,TRUE,SIN,Asia Pacific,Singapore,292 ms,4342 kB/s
47.237.92.26,2096,TRUE,SIN,Asia Pacific,Singapore,287 ms,4310 kB/s
47.236.253.41,8443,TRUE,SIN,Asia Pacific,Singapore,281 ms,4270 kB/s
47.236.9.152,2053,TRUE,SIN,Asia Pacific,Singapore,280 ms,4258 kB/s
47.236.80.110,2083,TRUE,SIN,Asia Pacific,Singapore,293 ms,4235 kB/s
47.236.150.13,8443,TRUE,SIN,Asia Pacific,Singapore,300 ms,4235 kB/s
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,298 ms,4187 kB/s
47.236.253.41,2083,TRUE,SIN,Asia Pacific,Singapore,301 ms,4170 kB/s
47.237.11.182,2053,TRUE,SIN,Asia Pacific,Singapore,288 ms,4169 kB/s
47.236.118.216,2096,TRUE,SIN,Asia Pacific,Singapore,313 ms,4136 kB/s
47.236.17.193,2096,TRUE,SIN,Asia Pacific,Singapore,304 ms,4126 kB/s
47.236.83.239,2053,TRUE,SIN,Asia Pacific,Singapore,292 ms,4123 kB/s
47.236.117.48,2053,TRUE,SIN,Asia Pacific,Singapore,284 ms,4079 kB/s
47.76.254.36,80,TRUE,SIN,Asia Pacific,Singapore,54 ms,4078 kB/s
47.236.237.90,8443,TRUE,SIN,Asia Pacific,Singapore,294 ms,4076 kB/s
47.238.50.221,80,TRUE,SIN,Asia Pacific,Singapore,72 ms,4074 kB/s
47.76.249.116,80,TRUE,SIN,Asia Pacific,Singapore,64 ms,4066 kB/s
47.238.255.53,80,TRUE,SIN,Asia Pacific,Singapore,54 ms,4066 kB/s
47.236.93.176,8443,TRUE,SIN,Asia Pacific,Singapore,300 ms,4054 kB/s
47.236.202.91,2087,TRUE,SIN,Asia Pacific,Singapore,289 ms,4053 kB/s
47.76.255.235,80,TRUE,SIN,Asia Pacific,Singapore,57 ms,4047 kB/s
47.236.80.110,8443,TRUE,SIN,Asia Pacific,Singapore,289 ms,4037 kB/s
47.238.3.10,80,TRUE,SIN,Asia Pacific,Singapore,60 ms,4028 kB/s
47.76.245.164,80,TRUE,SIN,Asia Pacific,Singapore,65 ms,4018 kB/s
47.237.0.31,2096,TRUE,SIN,Asia Pacific,Singapore,313 ms,4017 kB/s
47.238.52.160,80,TRUE,SIN,Asia Pacific,Singapore,70 ms,4004 kB/s
47.236.118.216,2083,TRUE,SIN,Asia Pacific,Singapore,311 ms,3982 kB/s
47.76.106.86,80,TRUE,SIN,Asia Pacific,Singapore,60 ms,3980 kB/s
47.238.36.145,80,TRUE,SIN,Asia Pacific,Singapore,62 ms,3979 kB/s
47.236.202.91,8443,TRUE,SIN,Asia Pacific,Singapore,295 ms,3970 kB/s
47.238.44.224,80,TRUE,SIN,Asia Pacific,Singapore,64 ms,3964 kB/s
47.236.237.90,2053,TRUE,SIN,Asia Pacific,Singapore,305 ms,3961 kB/s
47.236.202.91,2053,TRUE,SIN,Asia Pacific,Singapore,291 ms,3960 kB/s
