IP地址,端口,TLS,数据中心,地区,城市,延迟(ms),速度(MB/s)
183.236.51.57,25600,TRUE,HKG,Asia Pacific,Hong Kong,490,9340
183.94.30.165,27431,TRUE,HKG,Asia Pacific,Hong Kong,230,9000
[2408:864e:c03:1c:1::30:165],25975,TRUE,HKG,Asia Pacific,Hong Kong,263,8170
157.254.33.94,443,TRUE,HKG,Asia Pacific,Hong Kong,147,7840
163.177.58.169,25286,TRUE,HKG,Asia Pacific,Hong Kong,138,6810
222.237.101.115,21328,TRUE,HKG,Asia Pacific,Hong Kong,280,6040
14.119.112.77,12496,TRUE,HKG,Asia Pacific,Hong Kong,123,5400
39.120.102.137,21299,TRUE,HKG,Asia Pacific,Hong Kong,291,5100
183.236.51.57,30578,TRUE,HKG,Asia Pacific,Hong Kong,191,4830
183.94.30.165,26222,TRUE,HKG,Asia Pacific,Hong Kong,267,4790
183.94.30.165,25975,TRUE,HKG,Asia Pacific,Hong Kong,280,4730
101.32.39.249,2615,TRUE,HKG,Asia Pacific,Hong Kong,204,3640
185.106.176.139,443,TRUE,HKG,Asia Pacific,Hong Kong,192,3020
123.215.77.200,10244,TRUE,HKG,Asia Pacific,Hong Kong,412,2690
154.91.196.46,443,TRUE,HKG,Asia Pacific,Hong Kong,240,2450
118.140.166.215,10002,TRUE,HKG,Asia Pacific,Hong Kong,537,2380
180.71.205.236,26257,TRUE,HKG,Asia Pacific,Hong Kong,332,2370
103.214.174.93,443,TRUE,HKG,Asia Pacific,Hong Kong,180,2260
206.237.28.8,443,TRUE,HKG,Asia Pacific,Hong Kong,242,2080
183.94.30.165,26242,TRUE,HKG,Asia Pacific,Hong Kong,211,1730
14.119.112.77,12496,TRUE,HKG,Asia Pacific,Hong Kong,116,1720
124.156.149.27,18556,TRUE,HKG,Asia Pacific,Hong Kong,178,1500
101.32.10.244,10457,TRUE,HKG,Asia Pacific,Hong Kong,174,1140
114.205.18.189,25647,TRUE,HKG,Asia Pacific,Hong Kong,336,1050
38.106.23.161,8443,TRUE,HKG,Asia Pacific,Hong Kong,940,1050
183.94.30.165,26242,TRUE,HKG,Asia Pacific,Hong Kong,211,1020
183.94.30.165,27267,TRUE,HKG,Asia Pacific,Hong Kong,392,830
43.154.200.160,20047,TRUE,HKG,Asia Pacific,Hong Kong,158,810
47.76.100.62,443,TRUE,HKG,Asia Pacific,Hong Kong,141,760
116.204.210.10,443,TRUE,HKG,Asia Pacific,Hong Kong,185,680
138.19.30.55,443,TRUE,HKG,Asia Pacific,Hong Kong,249,680
43.132.244.52,21415,TRUE,HKG,Asia Pacific,Hong Kong,213,500
38.47.204.86,443,TRUE,HKG,Asia Pacific,Hong Kong,233,490
219.248.62.241,30019,TRUE,HKG,Asia Pacific,Hong Kong,342,470
45.8.186.139,8443,TRUE,HKG,Asia Pacific,Hong Kong,989,440
203.89.8.107,443,TRUE,HKG,Asia Pacific,Hong Kong,403,410
62.72.163.191,443,TRUE,HKG,Asia Pacific,Hong Kong,943,270
[2408:864e:c03:1c:1::30:165],26222,TRUE,HKG,Asia Pacific,Hong Kong,436,220
206.237.6.57,443,TRUE,HKG,Asia Pacific,Hong Kong,745,210
124.156.139.192,1901,TRUE,HKG,Asia Pacific,Hong Kong,168,150
178.253.32.28,2024,TRUE,HKG,Asia Pacific,Hong Kong,962,130
180.233.220.69,16067,TRUE,HKG,Asia Pacific,Hong Kong,752,120
45.123.188.137,2053,TRUE,HKG,Asia Pacific,Hong Kong,965,80
103.175.14.144,443,TRUE,HKG,Asia Pacific,Hong Kong,171,70
45.207.11.69,8899,TRUE,HKG,Asia Pacific,Hong Kong,231,60
45.207.11.69,8899,TRUE,HKG,Asia Pacific,Hong Kong,250,40
45.207.220.148,8443,TRUE,HKG,Asia Pacific,Hong Kong,964,30
183.178.22.246,11417,TRUE,HKG,Asia Pacific,Hong Kong,187,20
103.255.208.101,12302,TRUE,HKG,Asia Pacific,Hong Kong,283,20
114.205.51.211,23791,TRUE,HKG,Asia Pacific,Hong Kong,427,20
183.236.51.57,31621,TRUE,HKG,Asia Pacific,Hong Kong,420,10
