IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
35.75.218.166,8983,TRUE,JP:NRT1,JP,Asia Pacific,Tokyo,16509,AMAZON-02,41,46.82
35.73.102.80,443,TRUE,JP:NRT2,JP,Asia Pacific,Tokyo,16509,AMAZON-02,40,43.4
43.207.78.212,443,TRUE,JP:NRT3,JP,Asia Pacific,Tokyo,16509,AMAZON-02,42,39.49
14.119.112.77,26207,TRUE,JP:NRT4,JP,Asia Pacific,Tokyo,16509,AMAZON-02,35,34.77
46.3.101.23,443,TRUE,JP:NRT5,JP,Asia Pacific,Tokyo,18464,ALVIDI,67,34.45
103.201.131.135,443,TRUE,JP:NRT6,JP,Asia Pacific,Tokyo,3258,xTom Japan Co Ltd,56,26.59
212.50.255.75,443,TRUE,JP:NRT7,JP,Asia Pacific,Tokyo,16509,AMAZON-02,44,25.21
203.156.198.110,27175,TRUE,JP:NRT8,JP,Asia Pacific,Tokyo,16509,AMAZON-02,179,23.13
203.156.198.110,25969,TRUE,JP:NRT9,JP,Asia Pacific,Tokyo,4812,China Telecom Group,44,21.83
48.218.160.250,2053,TRUE,JP:NRT10,JP,Asia Pacific,Tokyo,16509,AMAZON-02,92,18.25
48.218.160.250,8443,TRUE,JP:NRT11,JP,Asia Pacific,Tokyo,16509,AMAZON-02,92,17.6
160.16.64.247,443,TRUE,JP:NRT12,JP,Asia Pacific,Tokyo,9370,SAKURA Internet Inc,39,10.71
38.47.121.93,33931,TRUE,JP:NRT13,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,60,9.93
46.3.103.212,10065,TRUE,JP:NRT14,JP,Asia Pacific,Tokyo,16509,AMAZON-02,88,9.64
1.235.252.81,10443,TRUE,JP:NRT15,JP,Asia Pacific,Tokyo,16509,AMAZON-02,74,8.96
1.243.39.139,28443,TRUE,JP:NRT16,JP,Asia Pacific,Tokyo,16509,AMAZON-02,74,8.71
49.246.69.156,26257,TRUE,JP:NRT17,JP,Asia Pacific,Tokyo,16509,AMAZON-02,129,8.7
58.231.164.221,12368,TRUE,JP:NRT18,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,81,8.64
58.124.11.106,18006,TRUE,JP:NRT19,JP,Asia Pacific,Tokyo,16509,AMAZON-02,74,8.57
218.38.33.77,12454,TRUE,JP:NRT20,KR,Asia Pacific,Tokyo,16509,AMAZON-02,162,8.56
1.231.146.114,17771,TRUE,JP:NRT21,JP,Asia Pacific,Tokyo,16509,AMAZON-02,81,8.56
39.120.132.235,10333,TRUE,JP:NRT22,JP,Asia Pacific,Tokyo,16509,AMAZON-02,77,8.49
122.34.148.156,12290,TRUE,JP:NRT23,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,102,8.33
116.122.120.26,27443,TRUE,JP:NRT24,JP,Asia Pacific,Tokyo,16509,AMAZON-02,81,8.25
103.20.199.101,33004,TRUE,JP:NRT25,JP,Asia Pacific,Tokyo,147293,Nearoute Limited,44,8.14
1.243.39.139,20202,TRUE,JP:NRT26,JP,Asia Pacific,Tokyo,16509,AMAZON-02,83,8.12
211.179.70.112,10086,TRUE,JP:NRT27,JP,Asia Pacific,Tokyo,16509,AMAZON-02,81,8.08
211.109.159.159,27017,TRUE,JP:NRT28,JP,Asia Pacific,Tokyo,16509,AMAZON-02,88,7.92
221.143.121.193,23184,TRUE,JP:NRT29,JP,Asia Pacific,Tokyo,16509,AMAZON-02,92,7.91
