IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
45.78.49.34,443,TRUE,JP:KIX1,JP,Asia Pacific,Osaka,25820,IT7NET,43,25.12
104.215.16.121,443,TRUE,JP:KIX2,JP,Asia Pacific,Osaka,8075,MICROSOFT-CORP-MSN-AS-BLOCK,104,16.86
64.176.42.6,443,TRUE,JP:KIX3,JP,Asia Pacific,Osaka,20473,AS-CHOOPA,196,13.35
38.47.97.196,443,TRUE,JP:KIX4,JP,Asia Pacific,Osaka,400464,VMISS,50,9.5
39.115.248.136,29151,TRUE,JP:KIX5,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,9.41
118.220.141.210,12171,TRUE,JP:KIX6,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,9.4
211.243.140.31,28751,TRUE,JP:KIX7,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,9.26
116.122.120.26,16979,TRUE,JP:KIX8,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,9.23
39.115.248.136,34323,TRUE,JP:KIX9,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,9.23
175.114.193.209,37669,TRUE,JP:KIX10,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,9.22
39.117.158.134,23256,TRUE,JP:KIX11,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,9.21
211.243.77.40,24934,TRUE,JP:KIX12,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,9.2
133.167.108.98,443,TRUE,JP:KIX13,JP,Asia Pacific,Osaka,9371,SAKURA Internet Inc,51,9.14
1.236.13.140,16839,TRUE,JP:KIX14,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,9.14
39.115.248.136,39479,TRUE,JP:KIX15,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,9.13
222.235.89.37,38812,TRUE,JP:KIX16,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,9.13
211.243.77.40,36113,TRUE,JP:KIX17,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,72,9.12
222.235.89.37,14894,TRUE,JP:KIX18,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,9.12
211.243.77.40,25436,TRUE,JP:KIX19,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,66,9.1
1.243.39.139,37840,TRUE,JP:KIX20,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,113,9.09
116.122.120.234,25853,TRUE,JP:KIX21,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,65,9.07
180.69.77.130,26832,TRUE,JP:KIX22,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,65,9.06
61.254.67.106,33597,TRUE,JP:KIX23,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,9.04
124.111.204.31,32113,TRUE,JP:KIX24,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,9.04
222.235.89.37,24625,TRUE,JP:KIX25,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,9.04
118.220.141.210,19627,TRUE,JP:KIX26,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,9.01
1.243.39.139,17789,TRUE,JP:KIX27,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,100,9
39.115.0.100,32340,TRUE,JP:KIX28,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,9
1.243.39.139,20819,TRUE,JP:KIX29,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,8.99
1.231.146.114,21133,TRUE,JP:KIX30,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.98
1.243.39.139,15397,TRUE,JP:KIX31,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.96
211.108.70.130,30250,TRUE,JP:KIX32,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,64,8.96
175.121.138.160,16355,TRUE,JP:KIX33,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,64,8.95
211.179.70.112,32225,TRUE,JP:KIX34,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.93
39.112.49.232,16149,TRUE,JP:KIX35,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.93
1.231.146.114,17216,TRUE,JP:KIX36,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.93
1.236.13.140,12345,TRUE,JP:KIX37,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,77,8.93
1.236.97.252,10603,TRUE,JP:KIX38,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,74,8.92
211.179.70.112,14690,TRUE,JP:KIX39,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,8.92
1.243.39.139,34035,TRUE,JP:KIX40,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,121,8.91
118.220.141.210,26523,TRUE,JP:KIX41,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,8.91
1.231.146.114,10735,TRUE,JP:KIX42,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.9
118.220.141.210,13286,TRUE,JP:KIX43,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,81,8.9
180.69.77.130,12365,TRUE,JP:KIX44,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,66,8.87
1.243.39.139,23810,TRUE,JP:KIX45,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,125,8.86
1.243.39.139,16869,TRUE,JP:KIX46,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,88,8.86
1.243.39.139,10832,TRUE,JP:KIX47,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,8.85
1.243.39.139,31652,TRUE,JP:KIX48,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,8.84
1.243.39.139,35970,TRUE,JP:KIX49,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,112,8.84
116.122.120.234,13585,TRUE,JP:KIX50,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.83
1.241.218.157,19280,TRUE,JP:KIX51,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.83
39.117.158.134,13609,TRUE,JP:KIX52,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,83,8.83
39.112.49.232,10666,TRUE,JP:KIX53,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,90,8.82
1.243.39.139,12223,TRUE,JP:KIX54,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.82
218.48.148.10,13675,TRUE,JP:KIX55,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.81
211.207.129.20,30447,TRUE,JP:KIX56,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.8
1.244.202.141,21050,TRUE,JP:KIX57,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.79
1.243.39.139,24617,TRUE,JP:KIX58,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,93,8.79
211.179.70.112,19443,TRUE,JP:KIX59,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.79
39.112.49.232,27299,TRUE,JP:KIX60,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,83,8.78
58.124.11.106,25985,TRUE,JP:KIX61,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.78
39.117.158.134,13395,TRUE,JP:KIX62,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.78
218.48.148.10,28328,TRUE,JP:KIX63,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,86,8.78
1.231.146.114,27653,TRUE,JP:KIX64,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.77
1.236.248.109,11867,TRUE,JP:KIX65,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,8.76
1.243.39.139,21980,TRUE,JP:KIX66,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,107,8.76
211.243.170.98,22390,TRUE,JP:KIX67,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.76
