IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
163.177.58.169,27799,TRUE,KR:ICN1,KR,Asia Pacific,Seoul,135061,China Unicom Guangdong IP network,39,25.17
193.123.250.62,50042,TRUE,KR:ICN2,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,36,24.64
163.177.58.169,27799,TRUE,KR:ICN3,KR,Asia Pacific,Seoul,135061,China Unicom Guangdong IP network,45,21.32
61.111.247.253,587,TRUE,KR:ICN4,KR,Asia Pacific,Seoul,138195,MOACKCoLTD,37,18.72
132.226.20.13,587,TRUE,KR:ICN5,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,79,17.4
61.111.247.253,587,TRUE,KR:ICN6,KR,Asia Pacific,Seoul,138195,MOACK.Co.LTD,31,14.74
39.117.158.134,26945,TRUE,KR:ICN7,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,46,10.27
61.254.205.175,23921,TRUE,KR:ICN8,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,84,10.23
1.243.188.136,39608,TRUE,KR:ICN9,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,46,10.22
1.243.188.136,39608,TRUE,KR:ICN10,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,46,10.22
114.203.236.104,30850,TRUE,KR:ICN11,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,228,10.21
114.203.236.104,30850,TRUE,KR:ICN12,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,228,10.21
211.186.127.143,15272,TRUE,KR:ICN13,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,52,10.19
211.186.127.143,15272,TRUE,KR:ICN14,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,52,10.19
58.124.11.106,19265,TRUE,KR:ICN15,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,43,10.17
61.36.31.132,12570,TRUE,KR:ICN16,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,46,10.17
58.124.11.106,19265,TRUE,KR:ICN17,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,43,10.17
1.244.202.141,35331,TRUE,KR:ICN18,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,59,10.17
1.244.202.141,22642,TRUE,KR:ICN19,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,10.17
49.171.120.159,12534,TRUE,KR:ICN20,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,73,10.16
219.241.66.229,12546,TRUE,KR:ICN21,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,55,10.16
211.203.37.223,10081,TRUE,KR:ICN22,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,37,10.15
124.111.204.31,29937,TRUE,KR:ICN23,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,38,10.15
114.203.236.104,38151,TRUE,KR:ICN24,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,39,10.15
1.243.188.136,30328,TRUE,KR:ICN25,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,37,10.11
1.243.188.136,30328,TRUE,KR:ICN26,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,37,10.11
1.236.186.119,21312,TRUE,KR:ICN27,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,57,10.09
61.98.58.5,25479,TRUE,KR:ICN28,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,41,10.07
110.12.85.17,10536,TRUE,KR:ICN29,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,63,10.07
211.186.127.143,17521,TRUE,KR:ICN30,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,55,10.05
1.236.186.119,31714,TRUE,KR:ICN31,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,39,10.05
114.203.236.104,12845,TRUE,KR:ICN32,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,10.05
1.231.146.114,34851,TRUE,KR:ICN33,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,46,10.04
1.231.146.114,34851,TRUE,KR:ICN34,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,46,10.04
61.254.205.175,37121,TRUE,KR:ICN35,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,40,10.04
39.114.165.173,12682,TRUE,KR:ICN36,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,52,10.04
175.117.40.5,15568,TRUE,KR:ICN37,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,10.03
39.115.248.136,23906,TRUE,KR:ICN38,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,41,10.03
124.111.208.233,18497,TRUE,KR:ICN39,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,10.02
124.111.204.31,11349,TRUE,KR:ICN40,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,50,10.01
1.231.146.114,19876,TRUE,KR:ICN41,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,49,10
1.231.146.114,34388,TRUE,KR:ICN42,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,43,10
1.225.249.25,35296,TRUE,KR:ICN43,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,9.99
1.236.186.119,27470,TRUE,KR:ICN44,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,59,9.96
124.111.204.31,18245,TRUE,KR:ICN45,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,40,9.96
1.236.186.119,27470,TRUE,KR:ICN46,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,59,9.96
61.254.205.175,39612,TRUE,KR:ICN47,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,36,9.96
219.241.66.229,31798,TRUE,KR:ICN48,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,53,9.96
1.244.202.141,10603,TRUE,KR:ICN49,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,58,9.96
1.243.188.136,17363,TRUE,KR:ICN50,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,42,9.95
1.243.188.136,17363,TRUE,KR:ICN51,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,42,9.95
222.237.202.177,23982,TRUE,KR:ICN52,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,57,9.95
61.254.205.175,10147,TRUE,KR:ICN53,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,9.94
124.111.242.213,24090,TRUE,KR:ICN54,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,9.93
39.120.132.235,11769,TRUE,KR:ICN55,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,53,9.93
124.111.242.213,24090,TRUE,KR:ICN56,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,9.93
39.120.132.235,11769,TRUE,KR:ICN57,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,53,9.93
114.203.236.104,37146,TRUE,KR:ICN58,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,55,9.93
1.233.172.193,37981,TRUE,KR:ICN59,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,399,9.92
1.236.186.119,22565,TRUE,KR:ICN60,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,61,9.9
1.236.186.119,22565,TRUE,KR:ICN61,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,61,9.9
61.254.205.175,27620,TRUE,KR:ICN62,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,51,9.9
114.203.236.104,24482,TRUE,KR:ICN63,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,72,9.89
114.203.236.104,24482,TRUE,KR:ICN64,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,72,9.89
175.125.207.253,10258,TRUE,KR:ICN65,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,9.89
222.237.202.177,20803,TRUE,KR:ICN66,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,43,9.89
222.237.202.177,16226,TRUE,KR:ICN67,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,60,9.89
219.241.66.229,29460,TRUE,KR:ICN68,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,43,9.88
1.236.248.109,39375,TRUE,KR:ICN69,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,55,9.87
39.114.237.166,15445,TRUE,KR:ICN70,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,84,9.87
1.243.52.80,32845,TRUE,KR:ICN71,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,46,9.86
110.12.93.33,26964,TRUE,KR:ICN72,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,56,9.85
110.12.93.33,26964,TRUE,KR:ICN73,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,56,9.85
61.254.205.175,17562,TRUE,KR:ICN74,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,9.85
1.236.186.119,36433,TRUE,KR:ICN75,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,46,9.85
58.232.49.2,20013,TRUE,KR:ICN76,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,77,9.84
58.232.49.2,20013,TRUE,KR:ICN77,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,77,9.84
175.123.37.191,32483,TRUE,KR:ICN78,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,54,9.84
222.237.202.177,10122,TRUE,KR:ICN79,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,52,9.83
58.239.209.98,11321,TRUE,KR:ICN80,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,87,9.83
175.118.80.147,32097,TRUE,KR:ICN81,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,370,9.83
222.237.202.177,10122,TRUE,KR:ICN82,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,52,9.83
58.239.209.98,11321,TRUE,KR:ICN83,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,87,9.83
175.118.80.147,32097,TRUE,KR:ICN84,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,370,9.83
124.111.204.31,26834,TRUE,KR:ICN85,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,59,9.83
124.111.204.31,39418,TRUE,KR:ICN86,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,58,9.82
61.254.205.175,12716,TRUE,KR:ICN87,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,42,9.82
61.254.205.175,22860,TRUE,KR:ICN88,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,40,9.82
58.232.49.2,22553,TRUE,KR:ICN89,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,9.81
58.232.49.2,22553,TRUE,KR:ICN90,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,9.81
1.231.146.114,39776,TRUE,KR:ICN91,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,54,9.81
218.51.223.18,21353,TRUE,KR:ICN92,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,41,9.8
58.124.11.106,34617,TRUE,KR:ICN93,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,50,9.8
218.51.223.18,21353,TRUE,KR:ICN94,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,41,9.8
58.124.11.106,34617,TRUE,KR:ICN95,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,50,9.8
1.232.40.93,24641,TRUE,KR:ICN96,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,43,9.8
58.232.49.2,12213,TRUE,KR:ICN97,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,41,9.78
61.98.58.5,17144,TRUE,KR:ICN98,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,62,9.78
222.235.14.103,18638,TRUE,KR:ICN99,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,50,9.78
39.115.248.136,34299,TRUE,KR:ICN100,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,41,9.77
175.119.135.29,12161,TRUE,KR:ICN101,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,9.77
39.115.248.136,34299,TRUE,KR:ICN102,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,41,9.77
175.119.135.29,12161,TRUE,KR:ICN103,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,47,9.77
1.236.97.252,11376,TRUE,KR:ICN104,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,36,9.77
119.67.240.86,12155,TRUE,KR:ICN105,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,50,9.76
124.111.242.213,31582,TRUE,KR:ICN106,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,9.74
122.36.31.22,12162,TRUE,KR:ICN107,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,54,9.74
124.111.242.213,31582,TRUE,KR:ICN108,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,48,9.74
