IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.17.239.70,47207,TRUE,US:LAX1,US,North America,Los Angeles,906,DMIT,140,21.57
172.64.40.243,443,TRUE,US:LAX2,US,North America,Los Angeles,13335,CLOUDFLARENET,146,21.34
152.70.155.147,2087,TRUE,US:LAX3,US,North America,Los Angeles,31898,ORACLE-BMC-31898,173,18.04
66.103.198.145,8443,TRUE,US:LAX4,US,North America,Los Angeles,35916,MULTA-ASN1,167,17.66
64.69.37.83,9999,TRUE,US:LAX5,US,North America,Los Angeles,35916,MULTA-ASN1,146,17.37
154.17.228.123,19063,TRUE,US:LAX6,US,North America,Los Angeles,906,DMIT,140,16.84
104.207.148.215,80,TRUE,US:LAX7,US,North America,Los Angeles,20473,AS-CHOOPA,134,16.54
170.178.164.99,1443,TRUE,US:LAX8,US,North America,Los Angeles,46844,SHARKTECH,150,16.45
38.59.242.216,30022,TRUE,US:LAX9,US,North America,Los Angeles,41378,Kirino LLC,137,16.38
154.17.228.150,443,TRUE,US:LAX10,US,North America,Los Angeles,906,DMIT,141,16.34
38.143.0.59,443,TRUE,US:LAX11,US,North America,Los Angeles,55799,IPTELECOM ASIA,140,15.73
154.17.0.70,12356,TRUE,US:LAX12,US,North America,Los Angeles,906,DMIT,141,15.53
66.98.121.132,8443,TRUE,US:LAX13,US,North America,Los Angeles,25820,IT7NET,162,14.82
154.17.12.26,8444,TRUE,US:LAX14,US,North America,Los Angeles,906,DMIT,138,14.6
172.64.78.120,443,TRUE,US:LAX15,US,North America,Los Angeles,13335,CLOUDFLARENET,174,14.37
154.17.27.77,587,TRUE,US:LAX16,US,North America,Los Angeles,906,DMIT,138,14.22
192.69.90.84,443,TRUE,US:LAX17,US,North America,Los Angeles,25820,IT7NET,141,13.96
154.21.82.84,54623,TRUE,US:LAX18,US,North America,Los Angeles,906,DMIT,142,13.89
152.70.155.147,2083,TRUE,US:LAX19,US,North America,Los Angeles,31898,ORACLE-BMC-31898,172,13.11
209.141.57.246,443,TRUE,US:LAX20,US,North America,Los Angeles,53667,PONYNET,160,12.69
72.18.80.235,443,TRUE,US:LAX21,US,North America,Los Angeles,35916,MULTA-ASN1,159,12.36
185.183.84.233,443,TRUE,US:LAX22,US,North America,Los Angeles,40065,CNSERVERS,165,12.25
154.26.238.84,8443,TRUE,US:LAX23,US,North America,Los Angeles,8796,FD-298-8796,142,12.1
74.211.104.133,443,TRUE,US:LAX24,US,North America,Los Angeles,25820,IT7NET,138,12.07
38.147.165.204,25566,TRUE,US:LAX25,US,North America,Los Angeles,40065,CNSERVERS,143,11.85
74.211.108.124,443,TRUE,US:LAX26,US,North America,Los Angeles,25820,IT7NET,133,11.77
31.40.214.227,587,TRUE,US:LAX27,US,North America,Los Angeles,40065,CNSERVERS,162,11.73
74.48.81.156,40000,TRUE,US:LAX28,US,North America,Los Angeles,35916,MULTA-ASN1,146,11.68
172.247.129.10,12202,TRUE,US:LAX29,US,North America,Los Angeles,40065,CNSERVERS,152,11.6
199.180.155.172,443,TRUE,US:LAX30,US,North America,Los Angeles,19257,SUBRIGO,206,11.57
93.179.112.13,8881,TRUE,US:LAX31,US,North America,Los Angeles,25820,IT7NET,150,11.54
74.48.58.171,443,TRUE,US:LAX32,US,North America,Los Angeles,35916,MULTA-ASN1,142,11.41
154.17.5.183,54403,TRUE,US:LAX33,US,North America,Los Angeles,906,DMIT,134,11.28
45.59.126.122,9999,TRUE,US:LAX34,US,North America,Los Angeles,399804,HOSTODO,164,11.09
144.34.194.121,443,TRUE,US:LAX35,US,North America,Los Angeles,25820,IT7NET,152,11.04
67.230.181.100,443,TRUE,US:LAX36,US,North America,Los Angeles,25820,IT7NET,144,10.99
154.17.18.44,18920,TRUE,US:LAX37,US,North America,Los Angeles,906,DMIT,131,10.9
204.235.242.17,443,TRUE,US:LAX38,US,North America,Los Angeles,7018,ATT-INTERNET4,140,10.87
67.230.179.41,443,TRUE,US:LAX39,US,North America,Los Angeles,25820,IT7NET,131,10.87
154.21.93.97,12378,TRUE,US:LAX40,US,North America,Los Angeles,906,DMIT,135,10.85
104.234.161.149,20106,TRUE,US:LAX41,US,North America,Los Angeles,151487,Awesomecloud Limited,140,10.76
104.194.91.229,443,TRUE,US:LAX42,US,North America,Los Angeles,25820,IT7NET,139,10.73
104.234.60.180,443,TRUE,US:LAX43,US,North America,Los Angeles,8100,ASN-QUADRANET-GLOBAL,183,10.57
74.120.168.20,443,TRUE,US:LAX44,US,North America,Los Angeles,25820,IT7NET,143,10.56
154.17.29.69,6667,TRUE,US:LAX45,US,North America,Los Angeles,906,DMIT,142,10.55
38.105.26.109,36875,TRUE,US:LAX46,US,North America,Los Angeles,142111,Zhejiang Aiyun Network Technology Co Ltd,141,10.5
103.79.76.102,3306,TRUE,US:LAX47,US,North America,Los Angeles,8100,ASN-QUADRANET-GLOBAL,139,10.39
74.48.48.182,2053,TRUE,US:LAX48,US,North America,Los Angeles,35916,MULTA-ASN1,152,10.35
142.171.140.152,443,TRUE,US:LAX49,US,North America,Los Angeles,35916,MULTA-ASN1,178,10.31
172.64.40.168,443,TRUE,US:LAX50,US,North America,Los Angeles,13335,CLOUDFLARENET,161,10.23
103.56.60.156,6005,TRUE,US:LAX51,US,North America,Los Angeles,4837,CHINA UNICOM China169 Backbone,18,10.22
97.64.18.38,443,TRUE,US:LAX52,US,North America,Los Angeles,25820,IT7NET,151,10.2
74.48.46.35,443,TRUE,US:LAX53,US,North America,Los Angeles,35916,MULTA-ASN1,141,10.19
199.19.109.64,443,TRUE,US:LAX54,US,North America,Los Angeles,25820,IT7NET,133,10.03
207.60.50.153,443,TRUE,US:LAX55,US,North America,Los Angeles,8796,FD-298-8796,158,10.01
74.48.100.162,18225,TRUE,US:LAX56,US,North America,Los Angeles,35916,MULTA-ASN1,151,9.97
74.48.85.42,8443,TRUE,US:LAX57,US,North America,Los Angeles,35916,MULTA-ASN1,153,9.95
38.95.113.23,55653,TRUE,US:LAX58,US,North America,Los Angeles,142111,Zhejiang Aiyun Network Technology Co Ltd,133,9.93
148.135.56.163,443,TRUE,US:LAX59,US,North America,Los Angeles,35916,MULTA-ASN1,168,9.92
20.33.30.36,2083,TRUE,US:LAX60,US,North America,Los Angeles,8069,MICROSOFT-CORP-MSN-AS-BLOCK,195,9.91
154.29.150.2,8080,TRUE,US:LAX61,US,North America,Los Angeles,979,NETLAB-SDN,181,9.88
74.48.141.167,443,TRUE,US:LAX62,US,North America,Los Angeles,35916,MULTA-ASN1,145,9.88
103.170.72.107,12438,TRUE,US:LAX63,US,North America,Los Angeles,976,CORENET,158,9.87
154.17.5.112,9527,TRUE,US:LAX64,US,North America,Los Angeles,906,DMIT,139,9.81
38.79.113.180,443,TRUE,US:LAX65,US,North America,Los Angeles,174,COGENT-174,148,9.77
107.173.180.104,8443,TRUE,US:LAX66,US,North America,Los Angeles,36352,AS-COLOCROSSING,155,9.75
202.91.32.165,11680,TRUE,US:LAX67,US,North America,Los Angeles,8100,ASN-QUADRANET-GLOBAL,137,9.72
45.91.82.74,443,TRUE,US:LAX68,US,North America,Los Angeles,8796,FD-298-8796,141,9.69
64.64.253.96,34237,TRUE,US:LAX69,US,North America,Los Angeles,25820,IT7NET,135,9.66
154.12.53.196,8443,TRUE,US:LAX70,US,North America,Los Angeles,979,NETLAB-SDN,151,9.64
129.153.223.37,443,TRUE,US:LAX71,US,North America,Los Angeles,31898,ORACLE-BMC-31898,147,9.49
192.227.247.75,443,TRUE,US:LAX72,US,North America,Los Angeles,36352,AS-COLOCROSSING,175,9.49
38.143.9.247,443,TRUE,US:LAX73,US,North America,Los Angeles,55799,IPTELECOM ASIA,141,9.4
74.48.98.173,46862,TRUE,US:LAX74,US,North America,Los Angeles,35916,MULTA-ASN1,158,9.39
204.93.164.126,41911,TRUE,US:LAX75,US,North America,Los Angeles,142036,Hosteons Pte. Ltd.,188,9.37
64.64.224.35,443,TRUE,US:LAX76,US,North America,Los Angeles,25820,IT7NET,135,9.37
216.24.181.231,443,TRUE,US:LAX77,US,North America,Los Angeles,25820,IT7NET,137,9.36
172.65.90.37,443,TRUE,US:LAX78,US,North America,Los Angeles,13335,CLOUDFLARENET,172,9.28
163.177.58.169,27700,TRUE,US:LAX79,US,North America,Los Angeles,135061,China Unicom Guangdong IP network,38,9.26
74.48.86.121,12222,TRUE,US:LAX80,US,North America,Los Angeles,35916,MULTA-ASN1,161,9.23
38.95.114.124,50500,TRUE,US:LAX81,US,North America,Los Angeles,142111,Zhejiang Aiyun Network Technology Co Ltd,140,9.05
144.34.213.78,443,TRUE,US:LAX82,US,North America,Los Angeles,25820,IT7NET,154,9.04
74.48.200.167,443,TRUE,US:LAX83,US,North America,Los Angeles,35916,MULTA-ASN1,179,9.01
154.17.12.26,8446,TRUE,US:LAX84,US,North America,Los Angeles,906,DMIT,138,8.97
195.123.241.122,50008,TRUE,US:LAX85,US,North America,Los Angeles,204957,Green Floid LLC,160,8.97
98.142.140.86,587,TRUE,US:LAX86,US,North America,Los Angeles,25820,IT7NET,166,8.92
93.179.112.13,8883,TRUE,US:LAX87,US,North America,Los Angeles,25820,IT7NET,148,8.89
23.105.213.30,443,TRUE,US:LAX88,US,North America,Los Angeles,25820,IT7NET,158,8.79
142.171.12.22,443,TRUE,US:LAX89,US,North America,Los Angeles,35916,MULTA-ASN1,167,8.74
45.149.172.84,8443,TRUE,US:LAX90,US,North America,Los Angeles,62240,Clouvider Limited,151,8.72
64.64.228.98,2053,TRUE,US:LAX91,US,North America,Los Angeles,25820,IT7NET,136,8.69
74.48.140.177,443,TRUE,US:LAX92,US,North America,Los Angeles,35916,MULTA-ASN1,179,8.68
107.172.235.61,4344,TRUE,US:LAX93,US,North America,Los Angeles,36352,AS-COLOCROSSING,168,8.66
166.0.188.128,13757,TRUE,US:LAX94,US,North America,Los Angeles,61112,AKILE LTD,137,8.64
46.21.159.253,8443,TRUE,US:LAX95,US,North America,Los Angeles,29802,HVC-AS,153,8.63
38.95.233.55,44948,TRUE,US:LAX96,US,North America,Los Angeles,142111,Zhejiang Aiyun Network Technology Co Ltd,159,8.61
162.219.120.218,443,TRUE,US:LAX97,US,North America,Los Angeles,25820,IT7NET,151,8.6
66.98.127.46,2052,TRUE,US:LAX98,US,North America,Los Angeles,25820,IT7NET,149,8.49
141.11.95.77,51002,TRUE,US:LAX99,US,North America,Los Angeles,8100,ASN-QUADRANET-GLOBAL,145,8.43
38.47.117.77,443,TRUE,US:LAX100,US,North America,Los Angeles,979,NETLAB-SDN,143,8.41
74.48.85.50,443,TRUE,US:LAX101,US,North America,Los Angeles,35916,MULTA-ASN1,162,8.38
