IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
104.194.143.18,443,TRUE,LHR,GB,Europe,London,198983,'Tornado Datacenter GmbH & Co. KG',181,18.27
162.159.81.30,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,225,17.16
172.64.233.18,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,222,16.91
162.159.81.40,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,219,16.63
162.159.81.247,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,233,16.54
213.139.72.80,8080,TRUE,LHR,GB,Europe,London,20860,Iomart Cloud Services Limited,179,16.43
172.64.233.181,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,228,16.18
162.159.81.57,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,214,16.17
172.64.233.126,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,219,15.24
162.159.81.137,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,213,15.23
38.180.93.241,443,TRUE,LHR,GB,Europe,London,9009,M247 Europe SRL,220,15.07
172.64.233.242,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,242,15.02
162.159.81.139,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,228,14.89
162.159.81.231,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,251,14.25
172.64.233.237,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,225,14.25
172.64.233.172,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,255,13.23
162.159.81.133,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,231,13.21
172.64.233.98,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,215,13.1
162.159.81.26,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,222,13.02
172.67.222.51,2096,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,223,12.69
162.159.81.218,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,222,12.66
172.64.233.122,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,261,12.58
162.159.81.219,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,253,12.4
162.159.81.59,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,226,12.15
172.64.233.240,443,TRUE,LHR,GB,Europe,London,13335,CLOUDFLARENET,229,12.08
