央视,#genre#
CCTV1HD,http://192.168.2.1:8188/udp/239.49.8.19:9614
CCTV2HD,http://192.168.2.1:8188/udp/239.49.8.50:9802
CCTV3HD,http://192.168.2.1:8188/udp/239.49.8.74:8000
CCTV4HD,http://192.168.2.1:8188/udp/239.49.8.51:9806
CCTV5HD,http://192.168.2.1:8188/udp/239.49.8.75:8000
CCTV6HD,http://192.168.2.1:8188/udp/239.49.8.76:8000
CCTV7HD,http://192.168.2.1:8188/udp/239.49.0.126:8000
CCTV8HD,http://192.168.2.1:8188/udp/239.49.8.77:8000
CCTV10HD,http://192.168.2.1:8188/udp/239.49.8.54:9818
CCTV11HD,http://192.168.2.1:8188/udp/239.49.0.127:8000
CCTV12HD,http://192.168.2.1:8188/udp/239.49.8.55:9822
CCTV13HD,http://192.168.2.1:8188/udp/239.49.8.109:8000
CCTV14HD,http://192.168.2.1:8188/udp/239.49.8.56:9826
CCTV音乐HD,http://192.168.2.1:8188/udp/239.49.0.128:8000
CCTV16HD,http://192.168.2.1:8188/udp/239.49.8.31:8000
CCTV17HD,http://192.168.2.1:8188/udp/239.49.8.52:9810
CCTV5HD,http://192.168.2.1:8188/udp/239.49.8.18:9610
CCTV164K（SDR),http://192.168.2.1:8188/udp/239.49.0.109:8000
地方卫视,#genre#
江苏卫视HD,http://192.168.2.1:8188/udp/239.49.8.16:9602
江苏城市HD,http://192.168.2.1:8188/udp/239.49.8.107:8000
江苏综艺HD,http://192.168.2.1:8188/udp/239.49.8.108:8000
江苏体育休闲HD,http://192.168.2.1:8188/udp/239.49.8.117:8000
江苏影视HD,http://192.168.2.1:8188/udp/239.49.8.118:8000
江苏新闻HD,http://192.168.2.1:8188/udp/239.49.8.120:8000
优漫卡通,http://192.168.2.1:8188/udp/239.49.0.21:8160
江苏国际,http://192.168.2.1:8188/udp/239.49.0.22:8168
好享购物,http://192.168.2.1:8188/udp/239.49.0.103:8000
江苏教育,http://192.168.2.1:8188/udp/239.49.0.23:8176
东方卫视,http://192.168.2.1:8188/udp/239.49.0.48:8376
北京卫视,http://192.168.2.1:8188/udp/239.49.0.49:8384
浙江卫视,http://192.168.2.1:8188/udp/239.49.0.50:8392
辽宁卫视,http://192.168.2.1:8188/udp/239.49.0.51:8400
安徽卫视,http://192.168.2.1:8188/udp/239.49.0.52:8408
山东卫视,http://192.168.2.1:8188/udp/239.49.0.53:8416
湖南卫视,http://192.168.2.1:8188/udp/239.49.0.54:8424
广东卫视,http://192.168.2.1:8188/udp/239.49.0.55:8432
广西卫视,http://192.168.2.1:8188/udp/239.49.0.56:8440
海南卫视,http://192.168.2.1:8188/udp/239.49.0.57:8448
重庆卫视,http://192.168.2.1:8188/udp/239.49.0.58:8456
四川卫视,http://192.168.2.1:8188/udp/239.49.0.59:8464
河南卫视,http://192.168.2.1:8188/udp/239.49.0.60:8472
东南卫视,http://192.168.2.1:8188/udp/239.49.0.61:8480
天津卫视,http://192.168.2.1:8188/udp/239.49.0.62:8488
江西卫视,http://192.168.2.1:8188/udp/239.49.0.63:8496
湖北卫视,http://192.168.2.1:8188/udp/239.49.0.64:8504
吉林卫视,http://192.168.2.1:8188/udp/239.49.0.65:8512
黑龙江卫视,http://192.168.2.1:8188/udp/239.49.0.66:8520
山西卫视,http://192.168.2.1:8188/udp/239.49.0.67:8528
贵州卫视,http://192.168.2.1:8188/udp/239.49.0.68:8536
青海卫视,http://192.168.2.1:8188/udp/239.49.0.69:8544
贵州卫视H,http://192.168.2.1:8188/udp/239.49.8.49:8000
安徽卫视HD,http://192.168.2.1:8188/udp/239.49.8.80:8000
湖北卫视HD,http://192.168.2.1:8188/udp/239.49.8.8:9632
深圳卫视,http://192.168.2.1:8188/udp/239.49.0.100:8788
云南卫视,http://192.168.2.1:8188/udp/239.49.0.147:8000
河北卫视,http://192.168.2.1:8188/udp/239.49.0.170:8000
宁夏卫视,http://192.168.2.1:8188/udp/239.49.0.171:8000
甘肃卫视,http://192.168.2.1:8188/udp/239.49.0.172:8000
新疆卫视,http://192.168.2.1:8188/udp/239.49.0.178:8000
内蒙古卫视,http://192.168.2.1:8188/udp/239.49.0.180:8000
西藏卫视,http://192.168.2.1:8188/udp/239.49.0.245:8000
三沙卫视,http://192.168.2.1:8188/udp/239.49.0.165:8000
陕西卫视,http://192.168.2.1:8188/udp/239.49.0.233:8000
大湾区卫视,http://192.168.2.1:8188/udp/239.49.0.234:8000
山东教育卫视,http://192.168.2.1:8188/udp/239.49.0.235:8000
其他,#genre#
空中课堂,http://192.168.2.1:8188/udp/239.49.0.72:8568
第一剧场,http://192.168.2.1:8188/udp/239.49.0.44:8000
电视指南,http://192.168.2.1:8188/udp/239.49.0.161:9282
风云足球,http://192.168.2.1:8188/udp/239.49.0.153:9218
高尔夫网球,http://192.168.2.1:8188/udp/239.49.0.154:9226
世界地理,http://192.168.2.1:8188/udp/239.49.0.155:9234
兵器科技,http://192.168.2.1:8188/udp/239.49.0.160:9274
风云剧场,http://192.168.2.1:8188/udp/239.49.0.152:9210
央视精品,http://192.168.2.1:8188/udp/239.49.0.156:9242
央视怀旧剧场,http://192.168.2.1:8188/udp/239.49.0.157:9250
风云音乐,http://192.168.2.1:8188/udp/239.49.0.151:9202
女性时尚,http://192.168.2.1:8188/udp/239.49.0.159:9266
快乐垂钓HD,http://192.168.2.1:8188/udp/239.49.0.114:8000
先锋乒羽,http://192.168.2.1:8188/udp/239.49.0.145:8000
茶HD,http://192.168.2.1:8188/udp/239.49.0.146:8000
梨园HD,http://192.168.2.1:8188/udp/239.49.8.193:8000
武术世界HD,http://192.168.2.1:8188/udp/239.49.0.205:8000
文物宝库HD,http://192.168.2.1:8188/udp/239.49.0.209:8000
苏州生活资讯,http://192.168.2.1:8188/udp/239.49.8.116:8000
导视,http://192.168.2.1:8188/udp/239.49.0.80:8632
精彩推荐,http://192.168.2.1:8188/udp/239.49.0.190:9458
书画频道,http://192.168.2.1:8188/udp/239.49.0.123:8000
直播室1,http://192.168.2.1:8188/udp/239.49.8.151:6000
直播室2,http://192.168.2.1:8188/udp/239.49.8.63:9354
CETV1,http://192.168.2.1:8188/udp/239.49.0.70:8552
CETV2,http://192.168.2.1:8188/udp/239.49.0.71:8560
优漫卡通HD,http://192.168.2.1:8188/udp/239.49.8.119:8000
好享购物HD,http://192.168.2.1:8188/udp/239.49.8.121:8000
江苏教育HD,http://192.168.2.1:8188/udp/239.49.8.122:8000
广西卫视HD,http://192.168.2.1:8188/udp/239.49.8.10:8000
天津卫视HD,http://192.168.2.1:8188/udp/239.49.8.35:8620
浙江卫视HD,http://192.168.2.1:8188/udp/239.49.8.20:9618
重庆卫视HD,http://192.168.2.1:8188/udp/239.49.8.57:9830
环球购物HD,http://192.168.2.1:8188/udp/239.49.8.123:8000
辽宁卫视HD,http://192.168.2.1:8188/udp/239.49.8.48:8000
海南卫视HD,http://192.168.2.1:8188/udp/239.49.8.83:8000
四川卫视HD,http://192.168.2.1:8188/udp/239.49.8.110:8000
江西卫视HD,http://192.168.2.1:8188/udp/239.49.8.111:8000
东南卫视HD,http://192.168.2.1:8188/udp/239.49.8.112:8000
吉林卫视HD,http://192.168.2.1:8188/udp/239.49.8.113:8000
河北卫视HD,http://192.168.2.1:8188/udp/239.49.8.114:8000
东方卫视HD,http://192.168.2.1:8188/udp/239.49.8.17:9606
北京卫视HD,http://192.168.2.1:8188/udp/239.49.8.11:9414
湖南卫视HD,http://192.168.2.1:8188/udp/239.49.8.12:9418
广东卫视HD,http://192.168.2.1:8188/udp/239.49.8.13:9422
黑龙江卫视HD,http://192.168.2.1:8188/udp/239.49.8.14:9426
深圳卫视HD,http://192.168.2.1:8188/udp/239.49.8.15:9430
云南卫视HD,http://192.168.2.1:8188/udp/239.49.0.177:8000
山东卫视HD,http://192.168.2.1:8188/udp/239.49.8.7:9306
精彩推荐高清,http://192.168.2.1:8188/udp/239.49.8.34:8612
CETV1HD,http://192.168.2.1:8188/udp/239.49.8.115:8000
CETV4HD,http://192.168.2.1:8188/udp/239.49.0.125:8000
河南卫视HD,http://192.168.2.1:8188/udp/239.49.8.29:8000
三沙卫视HD,http://192.168.2.1:8188/udp/239.49.0.167:8000
金鹰纪实HD,http://192.168.2.1:8188/udp/239.49.8.79:8000
第一剧场HD,http://192.168.2.1:8188/udp/239.49.8.94:8000
电视指南HD,http://192.168.2.1:8188/udp/239.49.8.84:8000
风云足球HD,http://192.168.2.1:8188/udp/239.49.8.85:8000
高尔夫网球HD,http://192.168.2.1:8188/udp/239.49.8.86:8000
世界地理HD,http://192.168.2.1:8188/udp/239.49.8.87:8000
兵器科技HD,http://192.168.2.1:8188/udp/239.49.8.88:8000
风云剧场HD,http://192.168.2.1:8188/udp/239.49.8.89:8000
央视精品HD,http://192.168.2.1:8188/udp/239.49.8.90:8000
央视怀旧剧场,HD,http://192.168.2.1:8188/udp/239.49.8.91:8000
风云音乐HD,http://192.168.2.1:8188/udp/239.49.8.92:8000
女性时尚HD,http://192.168.2.1:8188/udp/239.49.8.93:8000
央视台球HD,http://192.168.2.1:8188/udp/239.49.8.32:8000
金鹰卡通HD,http://192.168.2.1:8188/udp/239.49.8.33:8000
多机位3,http://192.168.2.1:8188/udp/239.49.8.67:9376
4K跨年直播1,http://192.168.2.1:8188/udp/239.49.8.38:8000
央广购物HD,http://192.168.2.1:8188/udp/239.49.0.39:8000
4K跨年直播2,http://192.168.2.1:8188/udp/239.49.8.82:8000
多机位6,http://192.168.2.1:8188/udp/239.49.0.251:8000
多机位2,http://192.168.2.1:8188/udp/239.49.8.66:9372
多机位7,http://192.168.2.1:8188/udp/239.49.0.191:8000
多机位5,http://192.168.2.1:8188/udp/239.49.8.69:9384
多画面导航,http://192.168.2.1:8188/udp/239.49.8.73:8000
江苏卫视高清,http://192.168.2.1:8188/udp/239.49.8.68:9380
多机位1,http://192.168.2.1:8188/udp/239.49.8.65:9368
CBA直播8,http://192.168.2.1:8188/udp/239.49.8.98:8000
CBA直播6,http://192.168.2.1:8188/udp/239.49.8.96:8000
篮球世界,http://192.168.2.1:8188/udp/239.49.8.105:8000
CBA直播3,http://192.168.2.1:8188/udp/239.49.8.93:8000
CBA直播4,http://192.168.2.1:8188/udp/239.49.8.94:8000
CBA直播5,http://192.168.2.1:8188/udp/239.49.8.95:8000
羽毛球直播,http://192.168.2.1:8188/udp/239.49.8.104:8000
CBA直播1,http://192.168.2.1:8188/udp/239.49.8.91:8000
CBA直播2,http://192.168.2.1:8188/udp/239.49.8.97:8000
CBA直播7,http://192.168.2.1:8188/udp/239.49.8.97:8000
球购物,http://192.168.2.1:8188/udp/239.49.0.212:8000
快乐购物,http://192.168.2.1:8188/udp/239.49.0.246:8000
家有购物,http://192.168.2.1:8188/udp/239.49.8.124:8000
央广购物,http://192.168.2.1:8188/udp/239.49.0.110:9014
财富天下,http://192.168.2.1:8188/udp/239.49.0.166:9322
