IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
183.94.30.165,45278,TRUE,JP:NRT1,JP,Asia Pacific,Tokyo,4837,CHINA UNICOM China169 Backbone,17,47.22
183.94.30.165,47130,TRUE,JP:NRT2,JP,Asia Pacific,Tokyo,4837,CHINA UNICOM China169 Backbone,19,46.75
103.201.131.135,443,TRUE,JP:NRT3,JP,Asia Pacific,Tokyo,3258,xTom Japan Co Ltd,43,45.34
3.113.25.197,52002,TRUE,JP:NRT4,JP,Asia Pacific,Tokyo,16509,AMAZON-02,45,44.38
35.73.102.80,443,TRUE,JP:NRT5,JP,Asia Pacific,Tokyo,16509,AMAZON-02,40,43.4
3.112.21.102,443,TRUE,JP:NRT6,JP,Asia Pacific,Tokyo,16509,AMAZON-02,39,40.99
52.197.230.94,443,TRUE,JP:NRT7,JP,Asia Pacific,Tokyo,16509,AMAZON-02,46,39.75
43.207.78.212,443,TRUE,JP:NRT8,JP,Asia Pacific,Tokyo,16509,AMAZON-02,42,39.49
183.94.30.165,46792,TRUE,JP:NRT9,JP,Asia Pacific,Tokyo,4837,CHINA UNICOM China169 Backbone,16,37.89
3.113.64.82,443,TRUE,JP:NRT10,JP,Asia Pacific,Tokyo,16509,AMAZON-02,38,35.03
62.106.70.39,139,TRUE,JP:NRT11,JP,Asia Pacific,Tokyo,3258,xTom Japan Co Ltd,53,34.99
46.3.101.23,443,TRUE,JP:NRT12,JP,Asia Pacific,Tokyo,18464,ALVIDI,67,34.45
54.249.135.43,443,TRUE,JP:NRT13,JP,Asia Pacific,Tokyo,16509,AMAZON-02,42,34.16
195.245.241.130,587,TRUE,JP:NRT14,JP,Asia Pacific,Tokyo,3258,xTom Japan Co Ltd,49,32.68
163.177.58.169,28607,TRUE,JP:NRT15,JP,Asia Pacific,Tokyo,135061,China Unicom Guangdong IP network,36,29.19
13.230.34.30,443,TRUE,JP:NRT16,JP,Asia Pacific,Tokyo,16509,AMAZON-02,37,29.02
172.84.92.174,8526,TRUE,JP:NRT17,JP,Asia Pacific,Tokyo,11161,DIGITALVIRT,44,28.95
183.94.30.165,45474,TRUE,JP:NRT18,JP,Asia Pacific,Tokyo,4837,CHINA UNICOM China169 Backbone,27,28.25
43.239.249.54,443,TRUE,JP:NRT19,JP,Asia Pacific,Tokyo,3258,xTom Japan Co Ltd,48,25.47
183.94.30.165,45612,TRUE,JP:NRT20,JP,Asia Pacific,Tokyo,4837,CHINA UNICOM China169 Backbone,26,24.06
176.119.149.243,3000,TRUE,JP:NRT21,JP,Asia Pacific,Tokyo,3258,xTom Japan Co Ltd,43,23.53
5.226.48.84,443,TRUE,JP:NRT22,JP,Asia Pacific,Tokyo,38136,Akari Networks,42,22.72
183.94.30.165,46047,TRUE,JP:NRT23,JP,Asia Pacific,Tokyo,4837,CHINA UNICOM China169 Backbone,19,22.71
