IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
14.119.112.72,25379,TRUE,SG:SIN1,SG,Asia Pacific,Singapore,4134,Chinanet,36,28.71
14.119.112.72,28279,TRUE,SG:SIN2,SG,Asia Pacific,Singapore,4134,Chinanet,38,24.84
183.236.51.16,10388,TRUE,SG:SIN3,SG,Asia Pacific,Singapore,9808,China Mobile Communications Group Co Ltd,40,23.89
52.148.81.81,443,TRUE,SG:SIN4,SG,Asia Pacific,Singapore,8075,MICROSOFT-CORP-MSN-AS-BLOCK,79,14.21
166.88.35.141,443,TRUE,SG:SIN5,SG,Asia Pacific,Singapore,149440,Evoxt Enterprise,98,12.3
103.191.242.222,9099,TRUE,SG:SIN6,SG,Asia Pacific,Singapore,4816,China Telecom Group,33,9.63
114.94.49.3,4343,TRUE,SG:SIN7,SG,Asia Pacific,Singapore,4812,China Telecom Group,131,8.42
43.229.149.251,2053,TRUE,SG:SIN8,SG,Asia Pacific,Singapore,56309,Siamdata Communication CoLtd,86,7.4
8.219.235.20,443,TRUE,SG:SIN9,SG,Asia Pacific,Singapore,200740,First Server Limited,194,6.85
103.198.26.37,80,TRUE,SG:SIN10,SG,Asia Pacific,Singapore,210542,NPO G-net,342,6.56
43.245.198.31,443,TRUE,SG:SIN11,SG,Asia Pacific,Singapore,45102,Alibaba US Technology Co Ltd,331,6.55
64.49.14.41,2053,TRUE,SG:SIN12,SG,Asia Pacific,Singapore,45102,Alibaba US Technology Co Ltd,353,6.38
47.245.91.197,9000,TRUE,SG:SIN13,SG,Asia Pacific,Singapore,142594,SpeedyPage Ltd,186,6.27
207.148.122.83,8443,TRUE,SG:SIN14,SG,Asia Pacific,Singapore,9808,China Mobile Communications Group Co Ltd,213,6.12
64.49.14.239,443,TRUE,SG:SIN15,SG,Asia Pacific,Singapore,9808,China Mobile Communications Group Co Ltd,350,6.12
166.1.130.10,443,TRUE,SG:SIN16,SG,Asia Pacific,Singapore,45102,Alibaba US Technology Co Ltd,318,6.11
89.34.227.242,2053,TRUE,SG:SIN17,SG,Asia Pacific,Singapore,38136,Akari Networks,332,6.08
89.34.227.79,2053,TRUE,SG:SIN18,SG,Asia Pacific,Singapore,932,XNNET,322,6.08
43.156.53.68,443,TRUE,SG:SIN19,SG,Asia Pacific,Singapore,44493,Chelyabinsk-Signal LLC,195,6.07
