IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
38.59.241.39,10000,TRUE,US:SJC001,US,North America,San Jose,41378,Kirino LLC,132,20.62
45.152.84.33,2053,TRUE,US:SJC002,US,North America,San Jose,56971,Cgi Global Limited,134,16.59
185.218.7.217,1443,TRUE,US:SJC003,US,North America,San Jose,51089,SnapStack Limited,132,14.8
65.75.192.67,42930,TRUE,US:SJC004,US,North America,San Jose,906,DMIT,137,14.32
142.147.94.108,10086,TRUE,US:SJC005,US,North America,San Jose,6233,XTOM,138,14.16
80.66.196.46,6177,TRUE,US:SJC006,US,North America,San Jose,6233,XTOM,135,14.1
45.59.184.16,38908,TRUE,US:SJC007,US,North America,San Jose,906,DMIT,146,12.91
107.172.103.195,16066,TRUE,US:SJC008,US,North America,San Jose,36352,AS-COLOCROSSING,146,12.68
107.172.103.195,16000,TRUE,US:SJC009,US,North America,San Jose,36352,AS-COLOCROSSING,146,12.47
107.172.103.195,16095,TRUE,US:SJC010,US,North America,San Jose,36352,AS-COLOCROSSING,133,12.39
193.23.55.194,2053,TRUE,US:SJC011,US,North America,San Jose,56971,Cgi Global Limited,129,12.33
107.172.103.195,16041,TRUE,US:SJC012,US,North America,San Jose,36352,AS-COLOCROSSING,146,12.2
107.172.103.195,16065,TRUE,US:SJC013,US,North America,San Jose,36352,AS-COLOCROSSING,168,12.02
192.9.157.76,443,TRUE,US:SJC014,US,North America,San Jose,31898,ORACLE-BMC-31898,149,11.95
107.172.103.195,16083,TRUE,US:SJC015,US,North America,San Jose,36352,AS-COLOCROSSING,148,11.83
107.172.103.195,16064,TRUE,US:SJC016,US,North America,San Jose,36352,AS-COLOCROSSING,156,11.59
23.94.25.108,443,TRUE,US:SJC017,US,North America,San Jose,36352,AS-COLOCROSSING,148,11.43
45.152.86.4,2053,TRUE,US:SJC018,US,North America,San Jose,56971,Cgi Global Limited,181,11.34
107.172.103.195,23456,TRUE,US:SJC019,US,North America,San Jose,36352,AS-COLOCROSSING,163,11.33
193.23.55.51,8443,TRUE,US:SJC020,US,North America,San Jose,56971,Cgi Global Limited,137,11.03
107.173.146.14,443,TRUE,US:SJC021,US,North America,San Jose,36352,AS-COLOCROSSING,152,10.82
23.94.223.102,2053,TRUE,US:SJC022,US,North America,San Jose,36352,AS-COLOCROSSING,174,10.71
107.172.103.195,16053,TRUE,US:SJC023,US,North America,San Jose,36352,AS-COLOCROSSING,153,10.7
107.173.86.75,8443,TRUE,US:SJC024,US,North America,San Jose,36352,AS-COLOCROSSING,149,10.7
193.23.55.51,2053,TRUE,US:SJC025,US,North America,San Jose,56971,Cgi Global Limited,135,10.69
150.230.34.116,443,TRUE,US:SJC026,US,North America,San Jose,31898,ORACLE-BMC-31898,168,10.58
107.172.103.195,16087,TRUE,US:SJC027,US,North America,San Jose,36352,AS-COLOCROSSING,137,10.55
63.205.203.251,443,TRUE,US:SJC028,US,North America,San Jose,7018,ATT-INTERNET4,154,10.53
107.172.103.195,16070,TRUE,US:SJC029,US,North America,San Jose,36352,AS-COLOCROSSING,146,10.44
198.12.120.132,2053,TRUE,US:SJC030,US,North America,San Jose,36352,AS-COLOCROSSING,155,10.33
3.101.133.120,80,TRUE,US:SJC031,US,North America,San Jose,16509,AMAZON-02,150,10.3
45.154.3.38,8443,TRUE,US:SJC032,US,North America,San Jose,56971,Cgi Global Limited,136,10.22
65.75.194.7,12266,TRUE,US:SJC033,US,North America,San Jose,906,DMIT,184,10.06
13.87.188.67,443,TRUE,US:SJC034,US,North America,San Jose,8075,MICROSOFT-CORP-MSN-AS-BLOCK,142,9.93
18.144.44.213,80,TRUE,US:SJC035,US,North America,San Jose,16509,AMAZON-02,146,9.8
107.172.96.205,2087,TRUE,US:SJC036,US,North America,San Jose,36352,AS-COLOCROSSING,153,9.77
173.249.207.151,443,TRUE,US:SJC037,US,North America,San Jose,11878,TZULO,136,9.68
23.94.223.102,8443,TRUE,US:SJC038,US,North America,San Jose,36352,AS-COLOCROSSING,163,9.63
13.56.160.12,80,TRUE,US:SJC039,US,North America,San Jose,16509,AMAZON-02,155,9.6
107.172.103.195,16074,TRUE,US:SJC040,US,North America,San Jose,36352,AS-COLOCROSSING,135,9.58
107.173.149.160,443,TRUE,US:SJC041,US,North America,San Jose,36352,AS-COLOCROSSING,147,9.52
138.2.231.22,33333,TRUE,US:SJC042,US,North America,San Jose,31898,ORACLE-BMC-31898,137,9.35
65.75.194.43,10511,TRUE,US:SJC043,US,North America,San Jose,906,DMIT,162,9.35
107.174.186.62,9443,TRUE,US:SJC044,US,North America,San Jose,36352,AS-COLOCROSSING,155,9.31
37.123.193.178,52050,TRUE,US:SJC045,US,North America,San Jose,41378,Kirino LLC,136,9.3
107.174.218.119,44444,TRUE,US:SJC046,US,North America,San Jose,36352,AS-COLOCROSSING,153,9.15
107.172.103.195,16084,TRUE,US:SJC047,US,North America,San Jose,36352,AS-COLOCROSSING,136,9.03
107.172.103.195,16098,TRUE,US:SJC048,US,North America,San Jose,36352,AS-COLOCROSSING,157,8.98
54.151.9.4,80,TRUE,US:SJC049,US,North America,San Jose,16509,AMAZON-02,165,8.95
67.226.221.104,80,TRUE,US:SJC050,US,North America,San Jose,14618,AMAZON-AES,153,8.94
104.168.13.20,443,TRUE,US:SJC051,US,North America,San Jose,36352,AS-COLOCROSSING,150,8.87
107.172.103.195,16099,TRUE,US:SJC052,US,North America,San Jose,36352,AS-COLOCROSSING,134,8.84
45.152.84.33,8443,TRUE,US:SJC053,US,North America,San Jose,56971,Cgi Global Limited,174,8.81
107.172.103.195,16051,TRUE,US:SJC054,US,North America,San Jose,36352,AS-COLOCROSSING,141,8.76
13.56.251.164,80,TRUE,US:SJC055,US,North America,San Jose,16509,AMAZON-02,160,8.76
164.92.107.53,8443,TRUE,US:SJC056,US,North America,San Jose,14061,DIGITALOCEAN-ASN,135,8.75
107.172.103.195,16067,TRUE,US:SJC057,US,North America,San Jose,36352,AS-COLOCROSSING,139,8.62
193.23.55.55,22025,TRUE,US:SJC058,US,North America,San Jose,56971,Cgi Global Limited,152,8.55
107.172.98.29,8443,TRUE,US:SJC059,US,North America,San Jose,36352,AS-COLOCROSSING,166,8.54
107.172.103.195,16019,TRUE,US:SJC060,US,North America,San Jose,36352,AS-COLOCROSSING,162,8.53
137.184.184.0,443,TRUE,US:SJC061,US,North America,San Jose,14061,DIGITALOCEAN-ASN,143,8.51
65.75.192.35,22857,TRUE,US:SJC062,US,North America,San Jose,906,DMIT,147,8.46
107.172.103.195,16091,TRUE,US:SJC063,US,North America,San Jose,36352,AS-COLOCROSSING,147,8.41
143.244.210.43,443,TRUE,US:SJC064,US,North America,San Jose,14061,DIGITALOCEAN-ASN,176,8.35
23.94.25.168,443,TRUE,US:SJC065,US,North America,San Jose,36352,AS-COLOCROSSING,164,8.3
54.193.104.34,80,TRUE,US:SJC066,US,North America,San Jose,16509,AMAZON-02,135,8.26
24.199.104.112,2053,TRUE,US:SJC067,US,North America,San Jose,14061,DIGITALOCEAN-ASN,163,8.17
107.172.103.195,16032,TRUE,US:SJC068,US,North America,San Jose,36352,AS-COLOCROSSING,146,8.16
107.172.103.195,16025,TRUE,US:SJC069,US,North America,San Jose,36352,AS-COLOCROSSING,135,8.05
r,,,,,,,,,,
